Filename,Size
EE_B0_HW_135.fastq.gz,33922302
EE_B0_HW_136.fastq.gz,129697887
EE_B0_HW_137.fastq.gz,86736909
EE_B0_HW_138.fastq.gz,34007426
EE_B0_HW_139.fastq.gz,126090940
EE_B0_HW_140.fastq.gz,2549964
EE_B0_HW_141.fastq.gz,44084101
EE_B0_HW_142.fastq.gz,15500443
EE_B0_HW_143.fastq.gz,96637817
EE_B0_HW_144.fastq.gz,43137877
EE_B0_HW_145.fastq.gz,1142257
EE_B0_HW_146.fastq.gz,4884479
EE_B0_HW_147.fastq.gz,119879800
EE_B0_HW_148.fastq.gz,10221917
EE_B0_HW_149.fastq.gz,9675192
EE_B0_HW_150.fastq.gz,18416034
EE_B0_HW_151.fastq.gz,5096802
EE_B0_HW_152.fastq.gz,154736217
EE_B0_HW_153.fastq.gz,185559275
EE_B0_HW_154.fastq.gz,35126479
EE_B0_JC_155.fastq.gz,283983780
EE_B0_JC_156.fastq.gz,204555834
EE_B0_JC_157.fastq.gz,61594359
EE_B0_JC_158.fastq.gz,159170968
EE_B0_JC_159.fastq.gz,48193315
EE_B0_JC_160.fastq.gz,285872009
EE_B0_JC_161.fastq.gz,75714874
EE_B0_JC_162.fastq.gz,91203991
EE_B0_JC_163.fastq.gz,241763498
EE_B0_JC_164.fastq.gz,23671291
EE_B0_JC_165.fastq.gz,110487562
EE_B0_JC_166.fastq.gz,130899876
EE_B0_JC_167.fastq.gz,75650599
EE_B0_JC_168.fastq.gz,355409105
EE_B0_JC_169.fastq.gz,289454395
EE_B0_JC_170.fastq.gz,152030720
EE_B0_JC_171.fastq.gz,288658926
EE_B0_JC_172.fastq.gz,23962259
EE_B0_JC_173.fastq.gz,77513813
EE_B0_JC_174.fastq.gz,9544342
EE_B0_JC_175.fastq.gz,53685516
EE_B0_JC_176.fastq.gz,47109992
EE_B0_JC_177.fastq.gz,51493623
EE_B0_JC_178.fastq.gz,46178095
EE_B0_JC_179.fastq.gz,14946543
EE_B0_JC_180.fastq.gz,46505706
EE_B0_JC_181.fastq.gz,16910667
EE_B0_JC_182.fastq.gz,4135167
EE_B0_JC_183.fastq.gz,22424672
EE_B0_JC_184.fastq.gz,17592389
EE_B0_JC_185.fastq.gz,4298489
EE_B0_JC_186.fastq.gz,25495927
EE_B0_JC_187.fastq.gz,43689459
EE_B0_JC_188.fastq.gz,17959591
EE_B0_JC_189.fastq.gz,3178355
EE_B0_JC_190.fastq.gz,12890358
EE_B0_PV_191.fastq.gz,156292978
EE_B0_PV_192.fastq.gz,207836413
EE_B0_PV_193.fastq.gz,132910348
EE_B0_PV_194.fastq.gz,14415345
EE_B0_PV_195.fastq.gz,112348767
EE_B0_PV_196.fastq.gz,233462075
EE_B0_PV_197.fastq.gz,227876938
EE_B0_PV_198.fastq.gz,209395336
EE_B0_PV_199.fastq.gz,2594553
EE_B0_PV_200.fastq.gz,9382419
EE_B0_PV_201.fastq.gz,143503646
EE_B0_PV_202.fastq.gz,221031449
EE_B0_PV_203.fastq.gz,190659274
EE_B0_PV_204.fastq.gz,19349513
EE_B0_PV_205.fastq.gz,84431024
EE_B0_PV_206.fastq.gz,191805911
EE_B0_PV_207.fastq.gz,119344821
EE_B0_PV_208.fastq.gz,5752869
EE_B0_PV_209.fastq.gz,5444317
EE_B0_PV_210.fastq.gz,19533525
EE_B0_PV_211.fastq.gz,21311979
EE_B0_PV_212.fastq.gz,484299
EE_B0_PV_213.fastq.gz,26450583
EE_B0_PV_214.fastq.gz,19796305
EE_B0_PV_215.fastq.gz,113841650
EE_B0_PV_216.fastq.gz,4996024
EE_B0_PV_217.fastq.gz,13649722
EE_B0_PV_218.fastq.gz,16977291
EE_B0_PV_219.fastq.gz,13606372
EE_B1_HW_220.fastq.gz,632780
EE_B1_HW_221.fastq.gz,9605306
EE_B1_HW_222.fastq.gz,155066312
EE_B1_HW_223.fastq.gz,235700135
EE_B1_HW_224.fastq.gz,32918060
EE_B1_HW_225.fastq.gz,1690218
EE_B1_HW_226.fastq.gz,555663
EE_B1_HW_227.fastq.gz,36113626
EE_B1_HW_228.fastq.gz,47704416
EE_B1_HW_229.fastq.gz,71052454
EE_B1_HW_230.fastq.gz,110953031
EE_B1_HW_231.fastq.gz,217016242
EE_B1_HW_232.fastq.gz,19123248
EE_B1_HW_233.fastq.gz,15207103
EE_B1_HW_234.fastq.gz,52909300
EE_B1_HW_235.fastq.gz,62492776
EE_B1_HW_236.fastq.gz,23005103
EE_B1_HW_237.fastq.gz,104118318
EE_B1_HW_238.fastq.gz,34105761
EE_B1_HW_239.fastq.gz,122836911
EE_B1_HW_240.fastq.gz,3386184
EE_B1_HW_241.fastq.gz,55530626
EE_B1_HW_242.fastq.gz,43977345
EE_B1_HW_243.fastq.gz,8257836
EE_B1_HW_244.fastq.gz,17582844
EE_B1_HW_245.fastq.gz,21640538
EE_B1_HW_246.fastq.gz,164295444
EE_B1_HW_247.fastq.gz,64620770
EE_B1_HW_248.fastq.gz,23436591
EE_B1_HW_249.fastq.gz,14218086
EE_B1_HW_250.fastq.gz,2371510
EE_B1_HW_251.fastq.gz,15656881
EE_B1_HW_252.fastq.gz,12912871
EE_B1_HW_253.fastq.gz,97478533
EE_B1_HW_254.fastq.gz,160709325
EE_B1_HW_255.fastq.gz,40264259
EE_B1_JC_256.fastq.gz,198113488
EE_B1_JC_257.fastq.gz,207982646
EE_B1_JC_258.fastq.gz,159660378
EE_B1_JC_259.fastq.gz,66107974
EE_B1_JC_260.fastq.gz,5552166
EE_B1_JC_261.fastq.gz,251572500
EE_B1_JC_262.fastq.gz,255942918
EE_B1_JC_263.fastq.gz,272944267
EE_B1_JC_264.fastq.gz,173806430
EE_B1_JC_265.fastq.gz,347801848
EE_B1_JC_266.fastq.gz,298716905
EE_B1_JC_267.fastq.gz,144456021
EE_B1_JC_268.fastq.gz,113642395
EE_B1_JC_269.fastq.gz,272107983
EE_B1_JC_270.fastq.gz,121756967
EE_B1_JC_271.fastq.gz,278821125
EE_B1_JC_272.fastq.gz,268740556
EE_B1_JC_273.fastq.gz,242754667
EE_B1_JC_274.fastq.gz,125465885
EE_B1_JC_275.fastq.gz,24212589
EE_B1_JC_276.fastq.gz,41611350
EE_B1_JC_277.fastq.gz,167012183
EE_B1_JC_278.fastq.gz,303775830
EE_B1_JC_279.fastq.gz,251531530
EE_B1_JC_280.fastq.gz,276109883
EE_B1_JC_281.fastq.gz,286844569
EE_B1_JC_282.fastq.gz,191486078
EE_B1_JC_283.fastq.gz,106402277
EE_B1_JC_284.fastq.gz,24327036
EE_B1_JC_285.fastq.gz,275150150
EE_B1_JC_286.fastq.gz,259537934
EE_B1_JC_287.fastq.gz,228281589
EE_B1_JC_288.fastq.gz,258383430
EE_B1_JC_289.fastq.gz,165013915
EE_B1_JC_290.fastq.gz,3092557
EE_B1_JC_291.fastq.gz,61541832
EE_B1_JC_292.fastq.gz,12719185
EE_B1_JC_293.fastq.gz,342224382
EE_B1_JC_294.fastq.gz,368633366
EE_B1_JC_295.fastq.gz,415376110
EE_B1_JC_296.fastq.gz,245115207
EE_B1_JC_297.fastq.gz,288469172
EE_B1_JC_298.fastq.gz,50842955
EE_B1_JC_299.fastq.gz,16770749
EE_B1_JC_300.fastq.gz,113516861
EE_B1_JC_301.fastq.gz,212944201
EE_B1_JC_302.fastq.gz,84021606
EE_B1_JC_303.fastq.gz,242570310
EE_B1_PV_304.fastq.gz,104987379
EE_B1_PV_305.fastq.gz,4932375
EE_B1_PV_306.fastq.gz,3990728
EE_B1_PV_307.fastq.gz,69619687
EE_B1_PV_308.fastq.gz,1604410
EE_B1_PV_309.fastq.gz,16837519
EE_B1_PV_310.fastq.gz,27689136
EE_B1_PV_311.fastq.gz,13136592
EE_B1_PV_312.fastq.gz,12455655
EE_B1_PV_313.fastq.gz,3021399
EE_B1_PV_314.fastq.gz,7066372
EE_B1_PV_315.fastq.gz,22760972
EE_B1_PV_316.fastq.gz,2377287
EE_B1_PV_317.fastq.gz,381973
EE_B1_PV_318.fastq.gz,77888422
EE_B1_PV_319.fastq.gz,66043486
EE_B1_PV_320.fastq.gz,225401690
EE_B1_PV_321.fastq.gz,6900777
EE_B1_PV_322.fastq.gz,6170117
EE_B1_PV_323.fastq.gz,9953139
EE_B1_PV_324.fastq.gz,7368207
EE_B1_PV_325.fastq.gz,21909169
EE_B1_PV_326.fastq.gz,103654099
EE_B1_PV_327.fastq.gz,138451185
EE_B1_PV_328.fastq.gz,304708111
EE_B1_PV_329.fastq.gz,24076593
EE_B1_PV_330.fastq.gz,96226575
EE_B1_PV_331.fastq.gz,33597161
EE_B1_PV_332.fastq.gz,12685279
EE_B1_PV_333.fastq.gz,58350550
EE_B1_PV_334.fastq.gz,16632069
EE_B1_PV_335.fastq.gz,25273825
EE_B1_PV_336.fastq.gz,25390323
EE_B1_PV_337.fastq.gz,3630679
EE_B1_PV_338.fastq.gz,177037886
EE_B1_PV_339.fastq.gz,171859995
EE_CO_PU_340.fastq.gz,345184091
EE_CO_PU_341.fastq.gz,226336837
EE_CO_PU_342.fastq.gz,150393547
EE_CO_PU_343.fastq.gz,356812762
EE_CO_PU_344.fastq.gz,13037681
EE_CO_PU_345.fastq.gz,53443064
EE_CO_PU_346.fastq.gz,174131968
EE_CO_PU_347.fastq.gz,125029685
EE_CO_PU_348.fastq.gz,1308584
EE_CO_PU_349.fastq.gz,208288519
EE_CO_PU_350.fastq.gz,157724806
EE_CO_PU_351.fastq.gz,233590587
EE_CO_PU_352.fastq.gz,149571233
EE_CO_PU_353.fastq.gz,210863573
EE_CO_PU_354.fastq.gz,142283445
EE_CO_PU_355.fastq.gz,155214812
EE_CO_PU_356.fastq.gz,124602221
EE_CO_PU_357.fastq.gz,153563029
EE_CO_PU_358.fastq.gz,266471016
EE_CO_PU_359.fastq.gz,188466471
EE_CO_PU_360.fastq.gz,279375838
EE_CO_PU_361.fastq.gz,14726351
EE_CO_PU_362.fastq.gz,400396796
EE_CO_PU_363.fastq.gz,178556608
EE_CO_PU_364.fastq.gz,3154146
EE_CO_PU_365.fastq.gz,148555949
EE_CO_PU_366.fastq.gz,202038352
EE_CO_PU_367.fastq.gz,67816932
EE_CO_PU_368.fastq.gz,264009993
EE_CO_PU_369.fastq.gz,111873604
EE_CO_PU_370.fastq.gz,179378301
EE_CO_PU_371.fastq.gz,70834317
EE_CO_PU_372.fastq.gz,169188707
EE_CO_PU_373.fastq.gz,137296869
EE_CO_PU_374.fastq.gz,146102
EE_CO_PU_375.fastq.gz,19844610
EE_CO_PU_376.fastq.gz,291534982
EE_CO_PU_377.fastq.gz,251500772
EE_CO_PU_378.fastq.gz,228638006
EE_CO_PU_379.fastq.gz,306920008
EE_CO_PU_380.fastq.gz,154302269
EE_CO_PU_381.fastq.gz,279117763
EE_CO_PU_382.fastq.gz,30502376
EE_CO_PU_383.fastq.gz,290026004
EE_CO_PU_384.fastq.gz,200603267
EE_CO_PU_385.fastq.gz,78282866
EE_CO_TC_386.fastq.gz,162798016
EE_CO_TC_387.fastq.gz,219674927
EE_CO_TC_388.fastq.gz,257918830
EE_CO_TC_389.fastq.gz,132266688
EE_CO_TC_390.fastq.gz,86869329
EE_CO_TC_391.fastq.gz,30180742
EE_CO_TC_392.fastq.gz,6246408
EE_CO_TC_393.fastq.gz,230820325
EE_CO_TC_394.fastq.gz,10477709
EE_CO_TC_395.fastq.gz,186131549
EE_CO_TC_396.fastq.gz,156319035
EE_CO_TC_397.fastq.gz,95258217
EE_CO_TC_398.fastq.gz,53761028
EE_CO_TC_399.fastq.gz,177080564
EE_CO_TC_400.fastq.gz,143176431
EE_CO_TC_401.fastq.gz,32596333
EE_CO_TC_402.fastq.gz,157591647
EE_CO_TC_403.fastq.gz,107323647
EE_CO_TC_404.fastq.gz,93428678
EE_CO_TC_405.fastq.gz,189173608
EE_CO_TC_406.fastq.gz,19637038
EE_CO_TC_407.fastq.gz,83176205
EE_CO_TC_408.fastq.gz,3677100
EE_CO_TC_409.fastq.gz,34976166
EE_CO_TC_410.fastq.gz,152696066
EE_CO_TC_411.fastq.gz,50892266
EE_CO_TC_412.fastq.gz,263712118
EE_CO_TC_413.fastq.gz,210258266
EE_CO_TC_414.fastq.gz,112010650
EE_CO_TC_415.fastq.gz,123560549
EE_CO_TC_416.fastq.gz,66083788
EE_CO_TC_417.fastq.gz,115729479
EE_CO_TC_418.fastq.gz,222090292
EE_CO_TC_419.fastq.gz,45159807
EE_CO_TC_420.fastq.gz,256599728
EE_CO_TC_421.fastq.gz,230146555
EE_CO_TC_422.fastq.gz,318143295
EE_CO_TC_423.fastq.gz,80853405
EE_CO_TC_424.fastq.gz,33484638
EE_CO_TC_425.fastq.gz,25031457
EE_CO_TC_426.fastq.gz,197976080
EE_CO_TC_427.fastq.gz,267692252
EE_CO_TC_428.fastq.gz,86068303
EE_CO_TC_429.fastq.gz,137910755
EE_CO_TC_430.fastq.gz,173580097
EE_CO_TC_431.fastq.gz,36450116
ELEL_GR_W632516_432.fastq.gz,75973203
ELEL_GR_W632516_433.fastq.gz,51729785
ELEL_GR_W632516_434.fastq.gz,91953344
ELEL_GR_W632516_435.fastq.gz,46285777
ELEL_GR_W632516_436.fastq.gz,50037254
ELEL_GR_W632516_437.fastq.gz,40945678
ELEL_GR_W632516_438.fastq.gz,60286827
ELEL_GR_W632516_439.fastq.gz,74788812
ELEL_GR_W632710_440.fastq.gz,18892845
ELEL_GR_W632710_441.fastq.gz,74445308
ELEL_GR_W632710_442.fastq.gz,56671720
ELEL_GR_W632710_443.fastq.gz,37860895
ELEL_GR_W632710_444.fastq.gz,29781202
ELEL_GR_W632710_445.fastq.gz,13856352
ELEL_GR_W632710_446.fastq.gz,33340708
ELEL_GR_W632710_447.fastq.gz,48160205
ELEL_GR_W640119_448.fastq.gz,7800449
ELEL_GR_W640119_449.fastq.gz,46856627
ELEL_GR_W640119_450.fastq.gz,16064106
ELEL_GR_W640119_451.fastq.gz,39723241
ELEL_GR_W640119_452.fastq.gz,13791814
ELEL_GR_W640119_453.fastq.gz,52081319
ELEL_GR_W640119_454.fastq.gz,56688509
ELEL_GR_W640119_455.fastq.gz,4374083
ELEL_GR_W640429_456.fastq.gz,45042727
ELEL_GR_W640429_457.fastq.gz,4210941
ELEL_GR_W640429_458.fastq.gz,81422085
ELEL_GR_W640429_459.fastq.gz,41874614
ELEL_GR_W640429_460.fastq.gz,18479037
ELEL_GR_W640429_461.fastq.gz,47979420
ELEL_GR_W640429_462.fastq.gz,1277471
ELEL_GR_W640429_463.fastq.gz,42215207
ELEL_GR_W640732_464.fastq.gz,76183849
ELEL_GR_W640732_465.fastq.gz,120016809
ELEL_GR_W640732_466.fastq.gz,88956632
ELEL_GR_W640732_467.fastq.gz,81410053
ELEL_GR_W640732_468.fastq.gz,25922454
ELEL_GR_W640732_469.fastq.gz,54812202
ELEL_GR_W640732_470.fastq.gz,39707212
ELEL_GR_W640732_471.fastq.gz,94930904
ELEL_GR_W643085_472.fastq.gz,46044535
ELEL_GR_W643085_473.fastq.gz,45890829
ELEL_GR_W643085_474.fastq.gz,123472050
ELEL_GR_W643085_475.fastq.gz,85050498
ELEL_GR_W643085_476.fastq.gz,27520139
ELEL_GR_W643085_477.fastq.gz,71064172
ELEL_GR_W643085_478.fastq.gz,127324006
ELEL_GR_W643085_479.fastq.gz,67230388
ELEL_GR_W644339_480.fastq.gz,31992813
ELEL_GR_W644339_481.fastq.gz,158207275
ELEL_GR_W644339_482.fastq.gz,92775330
ELEL_GR_W644339_483.fastq.gz,42694687
ELEL_GR_W644339_484.fastq.gz,31636083
ELEL_GR_W644339_485.fastq.gz,5167384
ELEL_GR_W644339_486.fastq.gz,61982761
ELEL_GR_W644339_487.fastq.gz,39355301
ELEL_GR_W652430_488.fastq.gz,46534248
ELEL_GR_W652430_489.fastq.gz,97986458
ELEL_GR_W652430_490.fastq.gz,123713892
ELEL_GR_W652430_491.fastq.gz,88137342
ELEL_GR_W652430_492.fastq.gz,95565599
ELEL_GR_W652430_493.fastq.gz,46838369
ELEL_GR_W652430_494.fastq.gz,59305246
ELEL_GR_W652430_495.fastq.gz,38767694
ELEL_GR_W652483_496.fastq.gz,47992338
ELEL_GR_W652483_497.fastq.gz,64260579
ELEL_GR_W652483_498.fastq.gz,93908905
ELEL_GR_W652483_499.fastq.gz,44637314
ELEL_GR_W652483_500.fastq.gz,83360366
ELEL_GR_W652483_501.fastq.gz,93786752
ELEL_GR_W652483_502.fastq.gz,45830631
ELEL_GR_W652483_503.fastq.gz,59797294
ELEL_GR_W655233_504.fastq.gz,51144809
ELEL_GR_W655233_505.fastq.gz,88965414
ELEL_GR_W655233_506.fastq.gz,64539359
ELEL_GR_W655233_507.fastq.gz,71611280
ELEL_GR_W655233_508.fastq.gz,46922310
ELEL_GR_W655233_509.fastq.gz,59350027
ELEL_GR_W655233_510.fastq.gz,80303094
ELEL_GR_W655233_511.fastq.gz,82419479
ELEL_GR_W655235_512.fastq.gz,14171841
ELEL_GR_W655235_513.fastq.gz,4151321
ELEL_GR_W655235_514.fastq.gz,49420256
ELEL_GR_W655235_515.fastq.gz,106681622
ELEL_GR_W655235_516.fastq.gz,107040085
ELEL_GR_W655235_517.fastq.gz,76478608
ELEL_GR_W655235_518.fastq.gz,99983480
ELEL_GR_W655235_519.fastq.gz,109547250
ELEL_GR_W656003_520.fastq.gz,29262627
ELEL_GR_W656003_521.fastq.gz,104313337
ELEL_GR_W656003_522.fastq.gz,38833046
ELEL_GR_W656003_523.fastq.gz,90295899
ELEL_GR_W656003_524.fastq.gz,38659349
ELEL_GR_W656003_525.fastq.gz,68191136
ELEL_GR_W656003_526.fastq.gz,113507459
ELEL_GR_W656003_527.fastq.gz,95882748
ELEL_GR_W656338_528.fastq.gz,15840052
ELEL_GR_W656338_529.fastq.gz,68672293
ELEL_GR_W656338_530.fastq.gz,77291337
ELEL_GR_W656338_531.fastq.gz,74224600
ELEL_GR_W656338_532.fastq.gz,8577074
ELEL_GR_W656338_533.fastq.gz,3344780
ELEL_GR_W656338_534.fastq.gz,99195462
ELEL_GR_W656338_535.fastq.gz,81043134
ELEL_GR_W657679_536.fastq.gz,47972530
ELEL_GR_W657679_537.fastq.gz,77867177
ELEL_GR_W657679_538.fastq.gz,70703360
ELEL_GR_W657679_539.fastq.gz,76825220
ELEL_GR_W657679_540.fastq.gz,26645544
ELEL_GR_W657679_541.fastq.gz,11218345
ELEL_GR_W657679_542.fastq.gz,89814820
ELEL_GR_W657679_543.fastq.gz,9727833
ELEL_GR_W659426_544.fastq.gz,40626127
ELEL_GR_W659426_545.fastq.gz,32944035
ELEL_GR_W659426_546.fastq.gz,71833860
ELEL_GR_W659426_547.fastq.gz,31932671
ELEL_GR_W659426_548.fastq.gz,54710920
ELEL_GR_W659426_549.fastq.gz,10502327
ELEL_GR_W659426_550.fastq.gz,57442502
ELEL_GR_W659426_551.fastq.gz,33787202
ELEL_GR_W661012_552.fastq.gz,16857259
ELEL_GR_W661012_553.fastq.gz,25645604
ELEL_GR_W661012_554.fastq.gz,52451454
ELEL_GR_W661012_555.fastq.gz,69053225
ELEL_GR_W661012_556.fastq.gz,72435458
ELEL_GR_W661012_557.fastq.gz,47078655
ELEL_GR_W661012_558.fastq.gz,78739468
ELEL_GR_W661012_559.fastq.gz,25568288
ELEL_RM_AR_560.fastq.gz,119119759
ELEL_RM_AR_561.fastq.gz,138066328
ELEL_RM_AR_562.fastq.gz,128768674
ELEL_RM_AR_563.fastq.gz,89651154
ELEL_RM_AR_564.fastq.gz,71492641
ELEL_RM_AR_565.fastq.gz,122893080
ELEL_RM_AR_566.fastq.gz,102527681
ELEL_RM_AR_567.fastq.gz,124326000
ELEL_RM_AR_568.fastq.gz,120214351
ELEL_RM_AR_569.fastq.gz,115681036
ELEL_RM_BC_570.fastq.gz,115038133
ELEL_RM_BC_571.fastq.gz,110748984
ELEL_RM_BC_572.fastq.gz,157087064
ELEL_RM_BC_573.fastq.gz,168189052
ELEL_RM_BC_574.fastq.gz,106725426
ELEL_RM_BC_575.fastq.gz,154627379
ELEL_RM_BC_576.fastq.gz,144344648
ELEL_RM_BC_577.fastq.gz,87005014
ELEL_RM_BC_578.fastq.gz,131098698
ELEL_RM_BC_579.fastq.gz,163702458
ELEL_RM_BK_580.fastq.gz,66871762
ELEL_RM_BK_581.fastq.gz,106473389
ELEL_RM_BK_582.fastq.gz,136168217
ELEL_RM_BK_583.fastq.gz,82148250
ELEL_RM_BK_584.fastq.gz,79806225
ELEL_RM_BK_585.fastq.gz,81478971
ELEL_RM_BK_586.fastq.gz,122162982
ELEL_RM_BK_587.fastq.gz,133902783
ELEL_RM_BK_588.fastq.gz,36890404
ELEL_RM_BK_589.fastq.gz,92554831
ELEL_RM_BK_590.fastq.gz,95568774
ELEL_RM_BL_591.fastq.gz,104584689
ELEL_RM_BL_592.fastq.gz,135412413
ELEL_RM_BL_593.fastq.gz,165725936
ELEL_RM_BL_594.fastq.gz,143448032
ELEL_RM_BL_595.fastq.gz,165737228
ELEL_RM_BL_596.fastq.gz,153631469
ELEL_RM_BL_597.fastq.gz,118767880
ELEL_RM_BL_598.fastq.gz,100712746
ELEL_RM_BL_599.fastq.gz,130697897
ELEL_RM_BL_600.fastq.gz,142374650
ELEL_RM_BP_601.fastq.gz,133416219
ELEL_RM_BP_602.fastq.gz,117417170
ELEL_RM_BP_603.fastq.gz,132021850
ELEL_RM_BP_604.fastq.gz,102011686
