param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.999939,1.000000,0.999299,1.000000
q_ind_1_pop_0,0.999970,1.000000,0.999682,1.000000
q_ind_2_pop_0,0.999913,1.000000,0.999017,1.000000
q_ind_3_pop_0,0.999905,1.000000,0.998929,1.000000
q_ind_4_pop_0,0.999968,1.000000,0.999636,1.000000
q_ind_5_pop_0,0.999970,1.000000,0.999677,1.000000
q_ind_6_pop_0,0.999963,1.000000,0.999590,1.000000
q_ind_7_pop_0,0.999970,1.000000,0.999656,1.000000
q_ind_8_pop_0,0.999953,1.000000,0.999469,1.000000
q_ind_9_pop_0,0.999975,1.000000,0.999713,1.000000
q_ind_10_pop_0,0.977436,0.977687,0.967295,0.985941
q_ind_11_pop_0,0.999964,1.000000,0.999600,1.000000
q_ind_12_pop_0,0.999955,1.000000,0.999491,1.000000
q_ind_13_pop_0,0.999965,1.000000,0.999603,1.000000
q_ind_14_pop_0,0.917915,0.918164,0.895632,0.938718
q_ind_15_pop_0,0.926348,0.926504,0.906447,0.945226
q_ind_16_pop_0,0.918884,0.919133,0.899998,0.936766
q_ind_17_pop_0,0.923787,0.923917,0.905872,0.940937
q_ind_18_pop_0,0.907481,0.907879,0.874601,0.938116
q_ind_19_pop_0,0.915538,0.915705,0.897939,0.932266
q_ind_20_pop_0,0.999926,1.000000,0.999166,1.000000
q_ind_21_pop_0,0.999970,1.000000,0.999670,1.000000
q_ind_22_pop_0,0.999950,1.000000,0.999432,1.000000
q_ind_23_pop_0,0.999964,1.000000,0.999587,1.000000
q_ind_24_pop_0,0.999976,1.000000,0.999737,1.000000
q_ind_25_pop_0,0.999881,1.000000,0.998700,1.000000
q_ind_26_pop_0,0.994106,0.994355,0.985028,1.000000
q_ind_27_pop_0,0.999964,1.000000,0.999599,1.000000
q_ind_28_pop_0,0.953064,0.953246,0.939546,0.965471
q_ind_29_pop_0,0.999853,1.000000,0.998361,1.000000
q_ind_30_pop_0,0.999911,1.000000,0.998955,1.000000
q_ind_31_pop_0,0.999978,1.000000,0.999738,1.000000
q_ind_32_pop_0,0.999979,1.000000,0.999763,1.000000
q_ind_33_pop_0,0.951510,0.951751,0.937008,0.964589
q_ind_34_pop_0,0.947364,0.947585,0.933209,0.960492
q_ind_35_pop_0,0.999979,1.000000,0.999753,1.000000
q_ind_36_pop_0,0.999942,1.000000,0.999331,1.000000
q_ind_37_pop_0,0.999965,1.000000,0.999605,1.000000
q_ind_38_pop_0,0.999920,1.000000,0.999099,1.000000
q_ind_39_pop_0,0.999974,1.000000,0.999709,1.000000
q_ind_40_pop_0,0.999966,1.000000,0.999599,1.000000
q_ind_41_pop_0,0.999979,1.000000,0.999766,1.000000
q_ind_42_pop_0,0.999979,1.000000,0.999767,1.000000
q_ind_43_pop_0,0.999980,1.000000,0.999771,1.000000
q_ind_44_pop_0,0.999964,1.000000,0.999589,1.000000
q_ind_45_pop_0,0.999956,1.000000,0.999487,1.000000
q_ind_46_pop_0,0.642111,0.642064,0.615021,0.668966
q_ind_47_pop_0,0.625587,0.625604,0.599267,0.651514
q_ind_48_pop_0,0.999968,1.000000,0.999634,1.000000
q_ind_49_pop_0,0.628598,0.628672,0.601859,0.654969
q_ind_50_pop_0,0.639500,0.639557,0.611633,0.666756
q_ind_51_pop_0,0.630381,0.630388,0.602125,0.657751
q_ind_52_pop_0,0.999969,1.000000,0.999647,1.000000
q_ind_53_pop_0,0.823490,0.823637,0.802468,0.843830
q_ind_54_pop_0,0.823167,0.823212,0.802617,0.843054
q_ind_55_pop_0,0.999958,1.000000,0.999537,1.000000
q_ind_56_pop_0,0.833015,0.833126,0.812612,0.852794
q_ind_57_pop_0,0.823954,0.823967,0.803860,0.843590
q_ind_58_pop_0,0.833006,0.833083,0.812604,0.852674
q_ind_59_pop_0,0.828878,0.829013,0.808165,0.848559
q_ind_60_pop_0,0.830574,0.830810,0.810652,0.849638
q_ind_61_pop_0,0.993022,0.993313,0.986119,0.998376
q_ind_62_pop_0,0.999941,1.000000,0.999342,1.000000
q_ind_63_pop_0,0.999879,1.000000,0.998650,1.000000
q_ind_64_pop_0,0.867249,0.868353,0.825697,0.905765
q_ind_65_pop_0,0.999979,1.000000,0.999754,1.000000
q_ind_66_pop_0,0.999969,1.000000,0.999670,1.000000
q_ind_67_pop_0,0.999985,1.000000,0.999828,1.000000
q_ind_68_pop_0,0.999979,1.000000,0.999774,1.000000
