param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2011.97,1.000
q_ind_1_pop_0,4221.64,1.000
q_ind_2_pop_0,579.69,1.002
q_ind_3_pop_0,2737.40,1.001
q_ind_4_pop_0,4571.73,1.000
q_ind_5_pop_0,4583.02,1.000
q_ind_6_pop_0,880.57,1.000
q_ind_7_pop_0,1330.94,1.004
q_ind_8_pop_0,4681.06,1.001
q_ind_9_pop_0,1983.48,1.001
q_ind_10_pop_0,1083.29,1.000
q_ind_11_pop_0,3494.72,1.001
q_ind_12_pop_0,1384.91,1.001
q_ind_13_pop_0,3301.81,1.001
q_ind_14_pop_0,796.17,1.002
q_ind_15_pop_0,1023.45,1.000
q_ind_16_pop_0,797.87,1.000
q_ind_17_pop_0,1110.20,1.001
q_ind_18_pop_0,425.71,1.000
q_ind_19_pop_0,1341.74,1.002
q_ind_20_pop_0,486.76,1.016
q_ind_21_pop_0,5454.06,1.000
q_ind_22_pop_0,3871.68,1.000
q_ind_23_pop_0,3962.32,1.000
q_ind_24_pop_0,4983.68,1.000
q_ind_25_pop_0,1311.80,1.002
q_ind_26_pop_0,381.24,1.001
q_ind_27_pop_0,4443.89,1.000
q_ind_28_pop_0,1503.70,1.001
q_ind_29_pop_0,1211.73,1.001
q_ind_30_pop_0,3496.20,1.000
q_ind_31_pop_0,6840.07,1.000
q_ind_32_pop_0,7512.62,1.000
q_ind_33_pop_0,1396.05,1.003
q_ind_34_pop_0,1649.45,1.000
q_ind_35_pop_0,7241.42,1.000
q_ind_36_pop_0,4121.28,1.000
q_ind_37_pop_0,6641.25,1.000
q_ind_38_pop_0,2245.12,1.000
q_ind_39_pop_0,6937.35,1.000
q_ind_40_pop_0,5182.72,1.001
q_ind_41_pop_0,8056.96,1.000
q_ind_42_pop_0,6891.08,1.000
q_ind_43_pop_0,7312.85,1.000
q_ind_44_pop_0,4497.58,1.000
q_ind_45_pop_0,4179.01,1.001
q_ind_46_pop_0,1106.53,1.000
q_ind_47_pop_0,1241.58,1.002
q_ind_48_pop_0,5313.55,1.000
q_ind_49_pop_0,1312.03,1.001
q_ind_50_pop_0,965.73,1.001
q_ind_51_pop_0,746.74,1.000
q_ind_52_pop_0,749.96,1.001
q_ind_53_pop_0,1572.58,1.001
q_ind_54_pop_0,1810.10,1.000
q_ind_55_pop_0,1002.64,1.001
q_ind_56_pop_0,1277.29,1.002
q_ind_57_pop_0,1766.20,1.001
q_ind_58_pop_0,1688.04,1.000
q_ind_59_pop_0,1446.26,1.004
q_ind_60_pop_0,1831.30,1.000
q_ind_61_pop_0,322.79,1.007
q_ind_62_pop_0,2134.15,1.001
q_ind_63_pop_0,2115.44,1.003
q_ind_64_pop_0,155.06,1.003
q_ind_65_pop_0,7928.86,1.000
q_ind_66_pop_0,6297.14,1.000
q_ind_67_pop_0,8772.74,1.000
q_ind_68_pop_0,6900.22,1.000
q_ind_69_pop_0,5784.37,1.000
q_ind_70_pop_0,7268.58,1.000
q_ind_71_pop_0,673.93,1.004
q_ind_72_pop_0,504.79,1.001
q_ind_73_pop_0,2969.35,1.000
q_ind_74_pop_0,344.55,1.004
q_ind_75_pop_0,986.30,1.000
q_ind_76_pop_0,5740.98,1.000
q_ind_77_pop_0,1107.81,1.002
q_ind_78_pop_0,1254.38,1.000
q_ind_79_pop_0,521.04,1.000
q_ind_80_pop_0,252.19,1.006
q_ind_81_pop_0,1340.72,1.000
q_ind_82_pop_0,1420.91,1.000
q_ind_83_pop_0,1372.17,1.001
q_ind_84_pop_0,305.69,1.011
q_ind_85_pop_0,200.18,1.011
q_ind_86_pop_0,4676.93,1.000
q_ind_87_pop_0,4845.87,1.000
q_ind_88_pop_0,3371.08,1.000
q_ind_89_pop_0,5557.63,1.000
q_ind_90_pop_0,2023.40,1.001
q_ind_91_pop_0,3689.32,1.000
q_ind_92_pop_0,2129.63,1.000
q_ind_93_pop_0,4562.89,1.000
q_ind_94_pop_0,3831.29,1.000
q_ind_95_pop_0,5654.22,1.000
q_ind_96_pop_0,5642.87,1.000
q_ind_97_pop_0,5313.07,1.000
q_ind_98_pop_0,6089.04,1.000
q_ind_99_pop_0,7503.61,1.000
q_ind_100_pop_0,4153.73,1.000
q_ind_101_pop_0,2349.60,1.000
q_ind_102_pop_0,2153.67,1.000
q_ind_103_pop_0,3181.70,1.000
q_ind_104_pop_0,5935.85,1.000
q_ind_105_pop_0,2403.51,1.000
q_ind_106_pop_0,2711.70,1.000
q_ind_107_pop_0,5654.78,1.000
q_ind_108_pop_0,6308.28,1.001
q_ind_109_pop_0,4161.75,1.001
q_ind_110_pop_0,3204.25,1.000
q_ind_111_pop_0,4771.57,1.000
q_ind_112_pop_0,1083.09,1.000
q_ind_113_pop_0,3014.61,1.000
q_ind_114_pop_0,8287.22,1.000
q_ind_115_pop_0,6150.65,1.000
q_ind_116_pop_0,2727.07,1.000
