param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,6861.24,1.000
q_ind_1_pop_0,7429.05,1.000
q_ind_2_pop_0,2878.15,1.000
q_ind_3_pop_0,6811.04,1.000
q_ind_4_pop_0,7438.51,1.000
q_ind_5_pop_0,3228.17,1.000
q_ind_6_pop_0,2864.04,1.000
q_ind_7_pop_0,3110.22,1.000
q_ind_8_pop_0,7118.05,1.000
q_ind_9_pop_0,4085.13,1.000
q_ind_10_pop_0,2173.81,1.000
q_ind_11_pop_0,7161.21,1.000
q_ind_12_pop_0,3831.83,1.000
q_ind_13_pop_0,9047.98,1.000
q_ind_14_pop_0,2758.21,1.001
q_ind_15_pop_0,2071.25,1.001
q_ind_16_pop_0,6434.91,1.000
q_ind_17_pop_0,2764.50,1.000
q_ind_18_pop_0,712.00,1.001
q_ind_19_pop_0,4462.61,1.000
q_ind_20_pop_0,1748.05,1.001
q_ind_21_pop_0,11197.09,1.000
q_ind_22_pop_0,8929.84,1.000
q_ind_23_pop_0,7940.98,1.000
q_ind_24_pop_0,8074.61,1.000
q_ind_25_pop_0,2084.28,1.000
q_ind_26_pop_0,1750.05,1.001
q_ind_27_pop_0,9437.26,1.000
q_ind_28_pop_0,4295.63,1.000
q_ind_29_pop_0,1905.89,1.001
q_ind_30_pop_0,7025.91,1.000
q_ind_31_pop_0,9190.29,1.000
q_ind_32_pop_0,8176.12,1.000
q_ind_33_pop_0,3048.35,1.000
q_ind_34_pop_0,5015.89,1.000
q_ind_35_pop_0,9873.07,1.000
q_ind_36_pop_0,6421.43,1.000
q_ind_37_pop_0,2881.90,1.000
q_ind_38_pop_0,964.93,1.001
q_ind_39_pop_0,11936.31,1.000
q_ind_40_pop_0,4107.02,1.001
q_ind_41_pop_0,8880.28,1.000
q_ind_42_pop_0,8517.93,1.000
q_ind_43_pop_0,12831.66,1.000
q_ind_44_pop_0,4191.35,1.000
q_ind_45_pop_0,4572.03,1.000
q_ind_46_pop_0,1544.22,1.002
q_ind_47_pop_0,1932.52,1.002
q_ind_48_pop_0,10548.43,1.000
