param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.999939,1.000000,0.999309,1.000000
q_ind_1_pop_0,0.999969,1.000000,0.999660,1.000000
q_ind_2_pop_0,0.999904,1.000000,0.998936,1.000000
q_ind_3_pop_0,0.999911,1.000000,0.998979,1.000000
q_ind_4_pop_0,0.999970,1.000000,0.999682,1.000000
q_ind_5_pop_0,0.999966,1.000000,0.999631,1.000000
q_ind_6_pop_0,0.999969,1.000000,0.999663,1.000000
q_ind_7_pop_0,0.999967,1.000000,0.999630,1.000000
q_ind_8_pop_0,0.999949,1.000000,0.999385,1.000000
q_ind_9_pop_0,0.999964,1.000000,0.999590,1.000000
q_ind_10_pop_0,0.993448,0.993579,0.987398,0.999561
q_ind_11_pop_0,0.999961,1.000000,0.999530,1.000000
q_ind_12_pop_0,0.999977,1.000000,0.999748,1.000000
q_ind_13_pop_0,0.999959,1.000000,0.999553,1.000000
q_ind_14_pop_0,0.994073,0.995295,0.980150,1.000000
q_ind_15_pop_0,0.998392,0.999995,0.989548,1.000000
q_ind_16_pop_0,0.988936,0.989192,0.976685,1.000000
q_ind_17_pop_0,0.997792,0.999988,0.986166,1.000000
q_ind_18_pop_0,0.998618,1.000000,0.985207,1.000000
q_ind_19_pop_0,0.999103,1.000000,0.991105,1.000000
q_ind_20_pop_0,0.999963,1.000000,0.999569,1.000000
q_ind_21_pop_0,0.999963,1.000000,0.999604,1.000000
q_ind_22_pop_0,0.999966,1.000000,0.999608,1.000000
q_ind_23_pop_0,0.999968,1.000000,0.999640,1.000000
q_ind_24_pop_0,0.999967,1.000000,0.999617,1.000000
q_ind_25_pop_0,0.999896,1.000000,0.998776,1.000000
q_ind_26_pop_0,0.999732,1.000000,0.997262,1.000000
q_ind_27_pop_0,0.999963,1.000000,0.999593,1.000000
q_ind_28_pop_0,0.999791,1.000000,0.997491,1.000000
q_ind_29_pop_0,0.999897,1.000000,0.998869,1.000000
q_ind_30_pop_0,0.999954,1.000000,0.999486,1.000000
q_ind_31_pop_0,0.999973,1.000000,0.999695,1.000000
q_ind_32_pop_0,0.999974,1.000000,0.999703,1.000000
q_ind_33_pop_0,0.999733,1.000000,0.997075,1.000000
q_ind_34_pop_0,0.999771,1.000000,0.997507,1.000000
q_ind_35_pop_0,0.999973,1.000000,0.999708,1.000000
q_ind_36_pop_0,0.999970,1.000000,0.999668,1.000000
q_ind_37_pop_0,0.999969,1.000000,0.999641,1.000000
q_ind_38_pop_0,0.999913,1.000000,0.999030,1.000000
q_ind_39_pop_0,0.999973,1.000000,0.999706,1.000000
q_ind_40_pop_0,0.999970,1.000000,0.999666,1.000000
q_ind_41_pop_0,0.999977,1.000000,0.999744,1.000000
