param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2514.55,1.000
q_ind_1_pop_0,4322.68,1.000
q_ind_2_pop_0,1977.20,1.001
q_ind_3_pop_0,1971.96,1.002
q_ind_4_pop_0,5615.61,1.000
q_ind_5_pop_0,4070.94,1.000
q_ind_6_pop_0,4446.15,1.000
q_ind_7_pop_0,4390.66,1.000
q_ind_8_pop_0,3221.38,1.000
q_ind_9_pop_0,4011.29,1.000
q_ind_10_pop_0,992.63,1.001
q_ind_11_pop_0,3652.65,1.000
q_ind_12_pop_0,6003.19,1.000
q_ind_13_pop_0,3644.19,1.000
q_ind_14_pop_0,76.13,1.009
q_ind_15_pop_0,305.73,1.002
q_ind_16_pop_0,438.94,1.001
q_ind_17_pop_0,164.92,1.010
q_ind_18_pop_0,151.61,1.014
q_ind_19_pop_0,402.71,1.004
q_ind_20_pop_0,3585.60,1.000
q_ind_21_pop_0,4487.56,1.000
q_ind_22_pop_0,4493.52,1.001
q_ind_23_pop_0,5295.13,1.001
q_ind_24_pop_0,3819.40,1.000
q_ind_25_pop_0,1763.10,1.003
q_ind_26_pop_0,933.96,1.000
q_ind_27_pop_0,3996.67,1.000
q_ind_28_pop_0,741.16,1.000
q_ind_29_pop_0,1185.45,1.000
q_ind_30_pop_0,2765.05,1.000
q_ind_31_pop_0,5416.40,1.000
q_ind_32_pop_0,5791.98,1.000
q_ind_33_pop_0,849.36,1.001
q_ind_34_pop_0,824.33,1.001
q_ind_35_pop_0,6257.02,1.001
q_ind_36_pop_0,3649.76,1.000
q_ind_37_pop_0,4681.95,1.000
q_ind_38_pop_0,1689.99,1.000
q_ind_39_pop_0,4163.11,1.000
q_ind_40_pop_0,4664.58,1.000
q_ind_41_pop_0,5752.55,1.000
q_ind_42_pop_0,5823.40,1.000
q_ind_43_pop_0,7405.59,1.000
q_ind_44_pop_0,4074.61,1.000
q_ind_45_pop_0,2822.38,1.002
q_ind_46_pop_0,1499.47,1.001
q_ind_47_pop_0,1155.19,1.000
q_ind_48_pop_0,5123.19,1.000
q_ind_49_pop_0,1504.35,1.000
q_ind_50_pop_0,1304.96,1.000
q_ind_51_pop_0,1270.03,1.001
q_ind_52_pop_0,7106.94,1.001
q_ind_53_pop_0,1163.01,1.001
q_ind_54_pop_0,1520.14,1.000
q_ind_55_pop_0,6686.34,1.001
q_ind_56_pop_0,1486.98,1.001
q_ind_57_pop_0,1751.16,1.000
q_ind_58_pop_0,1273.77,1.000
q_ind_59_pop_0,1110.50,1.000
q_ind_60_pop_0,1570.40,1.001
q_ind_61_pop_0,914.39,1.001
q_ind_62_pop_0,2553.95,1.000
q_ind_63_pop_0,2472.16,1.000
q_ind_64_pop_0,230.83,1.013
q_ind_65_pop_0,5901.53,1.000
q_ind_66_pop_0,4434.78,1.000
q_ind_67_pop_0,7925.22,1.000
q_ind_68_pop_0,7979.54,1.000
q_ind_69_pop_0,5937.04,1.000
q_ind_70_pop_0,5913.86,1.000
q_ind_71_pop_0,1707.88,1.003
q_ind_72_pop_0,4686.96,1.001
q_ind_73_pop_0,6683.50,1.000
q_ind_74_pop_0,420.91,1.001
q_ind_75_pop_0,1082.49,1.004
q_ind_76_pop_0,3934.48,1.000
q_ind_77_pop_0,1365.79,1.000
q_ind_78_pop_0,801.41,1.000
q_ind_79_pop_0,113.08,1.007
q_ind_80_pop_0,898.92,1.000
q_ind_81_pop_0,3904.84,1.001
q_ind_82_pop_0,205.39,1.007
q_ind_83_pop_0,379.90,1.007
q_ind_84_pop_0,5320.44,1.000
q_ind_85_pop_0,750.56,1.001
q_ind_86_pop_0,3150.84,1.000
q_ind_87_pop_0,4888.63,1.000
q_ind_88_pop_0,2208.13,1.000
q_ind_89_pop_0,3335.64,1.000
q_ind_90_pop_0,1492.78,1.001
q_ind_91_pop_0,2821.29,1.000
q_ind_92_pop_0,4115.99,1.000
q_ind_93_pop_0,4120.52,1.000
q_ind_94_pop_0,3681.58,1.001
q_ind_95_pop_0,4317.51,1.000
q_ind_96_pop_0,4161.60,1.000
q_ind_97_pop_0,5859.93,1.000
q_ind_98_pop_0,4744.25,1.000
q_ind_99_pop_0,7452.08,1.000
q_ind_100_pop_0,5231.02,1.001
q_ind_101_pop_0,3667.07,1.000
q_ind_102_pop_0,7714.94,1.000
q_ind_103_pop_0,1879.16,1.001
q_ind_104_pop_0,4625.18,1.000
q_ind_105_pop_0,3246.44,1.000
q_ind_106_pop_0,3007.31,1.002
q_ind_107_pop_0,6223.51,1.000
q_ind_108_pop_0,5658.00,1.000
q_ind_109_pop_0,4304.67,1.002
q_ind_110_pop_0,3883.48,1.000
q_ind_111_pop_0,6890.43,1.000
q_ind_112_pop_0,1353.23,1.001
q_ind_113_pop_0,5874.26,1.000
q_ind_114_pop_0,7346.95,1.001
q_ind_115_pop_0,4268.47,1.000
q_ind_116_pop_0,2389.21,1.001
q_ind_117_pop_0,3018.54,1.000
q_ind_118_pop_0,3264.99,1.000
q_ind_119_pop_0,6527.46,1.000
q_ind_120_pop_0,7340.11,1.000
q_ind_121_pop_0,5232.23,1.001
q_ind_122_pop_0,570.81,1.003
q_ind_123_pop_0,7992.34,1.000
q_ind_124_pop_0,7289.24,1.000
q_ind_125_pop_0,6197.69,1.000
q_ind_126_pop_0,729.76,1.007
q_ind_127_pop_0,7917.53,1.000
q_ind_128_pop_0,4555.83,1.000
q_ind_129_pop_0,4833.73,1.000
q_ind_130_pop_0,7348.06,1.000
q_ind_131_pop_0,4825.45,1.001
q_ind_132_pop_0,3541.31,1.000
q_ind_133_pop_0,3895.70,1.000
q_ind_134_pop_0,6780.26,1.000
q_ind_135_pop_0,2435.53,1.001
q_ind_136_pop_0,2454.48,1.001
q_ind_137_pop_0,5111.12,1.000
q_ind_138_pop_0,6403.20,1.000
q_ind_139_pop_0,3164.50,1.000
q_ind_140_pop_0,2019.69,1.000
q_ind_141_pop_0,5187.69,1.000
q_ind_142_pop_0,2487.88,1.000
q_ind_143_pop_0,2885.52,1.000
q_ind_144_pop_0,6728.54,1.000
q_ind_145_pop_0,3785.60,1.000
q_ind_146_pop_0,5259.17,1.001
q_ind_147_pop_0,4613.76,1.001
q_ind_148_pop_0,3016.14,1.000
q_ind_149_pop_0,7043.89,1.000
q_ind_150_pop_0,5834.86,1.000
q_ind_151_pop_0,7057.03,1.000
q_ind_152_pop_0,5616.74,1.001
q_ind_153_pop_0,7599.62,1.000
q_ind_154_pop_0,4780.28,1.001
q_ind_155_pop_0,7442.40,1.000
q_ind_156_pop_0,6253.01,1.000
q_ind_157_pop_0,7558.59,1.000
q_ind_158_pop_0,6917.96,1.000
q_ind_159_pop_0,7023.67,1.000
q_ind_160_pop_0,8110.23,1.000
q_ind_161_pop_0,6907.98,1.000
q_ind_162_pop_0,5907.66,1.000
q_ind_163_pop_0,6775.82,1.000
q_ind_164_pop_0,5197.07,1.000
q_ind_165_pop_0,5826.64,1.001
q_ind_166_pop_0,3754.60,1.000
q_ind_167_pop_0,8259.18,1.000
q_ind_168_pop_0,7175.74,1.000
q_ind_169_pop_0,3301.94,1.002
q_ind_170_pop_0,1948.37,1.002
q_ind_171_pop_0,3880.57,1.000
q_ind_172_pop_0,370.64,1.005
q_ind_173_pop_0,7895.40,1.000
q_ind_174_pop_0,4450.09,1.000
q_ind_175_pop_0,6989.17,1.000
q_ind_176_pop_0,7068.05,1.000
q_ind_177_pop_0,319.21,1.006
q_ind_178_pop_0,2955.06,1.000
q_ind_179_pop_0,2126.11,1.000
q_ind_180_pop_0,8480.54,1.000
q_ind_181_pop_0,5776.96,1.000
q_ind_182_pop_0,4951.14,1.000
q_ind_183_pop_0,4585.37,1.000
q_ind_184_pop_0,2510.21,1.000
q_ind_185_pop_0,5196.91,1.000
q_ind_186_pop_0,3410.69,1.001
q_ind_187_pop_0,3937.11,1.000
q_ind_188_pop_0,4174.44,1.001
