param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000010,0.000000,0.000000,0.000046
q_ind_1_pop_0,0.000007,0.000000,0.000000,0.000033
q_ind_2_pop_0,0.749738,0.666537,0.622460,0.953743
q_ind_3_pop_0,0.000112,0.000000,0.000000,0.001757
q_ind_4_pop_0,0.000006,0.000000,0.000000,0.000032
q_ind_5_pop_0,0.751457,0.660116,0.613144,0.972533
q_ind_6_pop_0,0.744156,0.652378,0.607434,0.964458
q_ind_7_pop_0,0.752721,0.660960,0.616838,0.973175
q_ind_8_pop_0,0.000010,0.000000,0.000000,0.000063
q_ind_9_pop_0,0.616974,0.452514,0.416624,0.975243
q_ind_10_pop_0,0.009017,0.009456,0.000000,0.019446
q_ind_11_pop_0,0.000020,0.000000,0.000000,0.000134
q_ind_12_pop_0,0.635034,0.471475,0.434687,0.991198
q_ind_13_pop_0,0.000115,0.000000,0.000000,0.001766
q_ind_14_pop_0,0.000007,0.000000,0.000000,0.000038
q_ind_15_pop_0,0.000005,0.000000,0.000000,0.000033
q_ind_16_pop_0,0.000005,0.000000,0.000000,0.000028
q_ind_17_pop_0,0.000006,0.000000,0.000000,0.000029
q_ind_18_pop_0,0.000019,0.000000,0.000000,0.000084
q_ind_19_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_20_pop_0,0.708838,0.635272,0.592552,0.897282
q_ind_21_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_22_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_23_pop_0,0.000009,0.000000,0.000000,0.000054
q_ind_24_pop_0,0.000005,0.000000,0.000000,0.000024
q_ind_25_pop_0,0.000293,0.000000,0.000000,0.004395
q_ind_26_pop_0,0.000013,0.000000,0.000000,0.000080
q_ind_27_pop_0,0.000012,0.000000,0.000000,0.000089
q_ind_28_pop_0,0.000015,0.000000,0.000000,0.000083
q_ind_29_pop_0,0.000039,0.000000,0.000000,0.000269
q_ind_30_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_31_pop_0,0.000004,0.000000,0.000000,0.000025
q_ind_32_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_33_pop_0,0.000012,0.000000,0.000000,0.000054
q_ind_34_pop_0,0.000012,0.000000,0.000000,0.000072
q_ind_35_pop_0,0.000003,0.000000,0.000000,0.000020
q_ind_36_pop_0,0.000007,0.000000,0.000000,0.000035
q_ind_37_pop_0,0.000033,0.000000,0.000000,0.000329
q_ind_38_pop_0,0.000034,0.000000,0.000000,0.000223
q_ind_39_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_40_pop_0,0.000012,0.000000,0.000000,0.000083
q_ind_41_pop_0,0.000004,0.000000,0.000000,0.000029
q_ind_42_pop_0,0.000006,0.000000,0.000000,0.000030
q_ind_43_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_44_pop_0,0.000012,0.000000,0.000000,0.000057
q_ind_45_pop_0,0.000009,0.000000,0.000000,0.000053
q_ind_46_pop_0,0.000012,0.000000,0.000000,0.000069
q_ind_47_pop_0,0.000007,0.000000,0.000000,0.000037
q_ind_48_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_49_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_50_pop_0,0.000007,0.000000,0.000000,0.000036
q_ind_51_pop_0,0.000016,0.000000,0.000000,0.000102
q_ind_52_pop_0,0.739641,0.665351,0.626194,0.923753
q_ind_53_pop_0,0.000144,0.000000,0.000000,0.001595
q_ind_54_pop_0,0.064480,0.090418,0.000000,0.113721
q_ind_55_pop_0,0.738936,0.659493,0.619782,0.933032
q_ind_56_pop_0,0.062871,0.083514,0.000000,0.119035
q_ind_57_pop_0,0.000098,0.000000,0.000000,0.000731
q_ind_58_pop_0,0.003887,0.000000,0.000000,0.031361
q_ind_59_pop_0,0.000025,0.000000,0.000000,0.000101
q_ind_60_pop_0,0.067549,0.094420,0.000000,0.120531
q_ind_61_pop_0,0.008658,0.008948,0.000000,0.024090
q_ind_62_pop_0,0.000047,0.000000,0.000000,0.000478
q_ind_63_pop_0,0.000009,0.000000,0.000000,0.000065
q_ind_64_pop_0,0.118046,0.139571,0.000000,0.195547
q_ind_65_pop_0,0.948786,0.933209,0.897200,1.000000
q_ind_66_pop_0,0.949469,0.935150,0.894577,1.000000
q_ind_67_pop_0,0.937256,0.914722,0.883034,1.000000
q_ind_68_pop_0,0.966889,0.958142,0.929483,1.000000
q_ind_69_pop_0,0.949502,0.934068,0.898141,1.000000
q_ind_70_pop_0,0.971080,0.965273,0.933818,1.000000
q_ind_71_pop_0,0.651766,0.517390,0.452867,0.976306
q_ind_72_pop_0,0.739159,0.673645,0.623945,0.913955
q_ind_73_pop_0,0.912600,0.878303,0.844102,1.000000
q_ind_74_pop_0,0.063318,0.061706,0.028029,0.102293
q_ind_75_pop_0,0.000832,0.000000,0.000000,0.012457
q_ind_76_pop_0,0.904037,0.865673,0.831315,1.000000
q_ind_77_pop_0,0.543574,0.431692,0.390996,0.807716
q_ind_78_pop_0,0.047253,0.052169,0.000000,0.086721
q_ind_79_pop_0,0.093965,0.109339,0.000000,0.152065
q_ind_80_pop_0,0.052425,0.061423,0.000000,0.084625
q_ind_81_pop_0,0.729511,0.645084,0.601862,0.935502
q_ind_82_pop_0,0.000053,0.000000,0.000000,0.000630
q_ind_83_pop_0,0.000004,0.000000,0.000000,0.000028
q_ind_84_pop_0,0.715923,0.630457,0.591258,0.921911
q_ind_85_pop_0,0.060931,0.062934,0.018179,0.093563
q_ind_86_pop_0,0.000004,0.000000,0.000000,0.000018
q_ind_87_pop_0,0.000005,0.000000,0.000000,0.000028
q_ind_88_pop_0,0.000120,0.000000,0.000000,0.001723
q_ind_89_pop_0,0.000007,0.000000,0.000000,0.000041
q_ind_90_pop_0,0.000026,0.000000,0.000000,0.000156
q_ind_91_pop_0,0.000015,0.000000,0.000000,0.000097
q_ind_92_pop_0,0.000008,0.000000,0.000000,0.000042
q_ind_93_pop_0,0.000005,0.000000,0.000000,0.000029
q_ind_94_pop_0,0.000073,0.000000,0.000000,0.001115
q_ind_95_pop_0,0.000009,0.000000,0.000000,0.000046
q_ind_96_pop_0,0.000006,0.000000,0.000000,0.000025
q_ind_97_pop_0,0.000022,0.000000,0.000000,0.000187
q_ind_98_pop_0,0.000016,0.000000,0.000000,0.000108
q_ind_99_pop_0,0.333333,0.000000,0.000000,1.000000
q_ind_100_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_101_pop_0,0.308463,0.000000,0.000000,0.935898
q_ind_102_pop_0,0.342830,0.018649,0.000000,1.000000
q_ind_103_pop_0,0.000051,0.000000,0.000000,0.000612
q_ind_104_pop_0,0.000003,0.000000,0.000000,0.000017
q_ind_105_pop_0,0.000026,0.000000,0.000000,0.000209
q_ind_106_pop_0,0.323341,0.000000,0.000000,0.977079
q_ind_107_pop_0,0.333339,0.000000,0.000000,1.000000
q_ind_108_pop_0,0.333324,0.000000,0.000000,1.000000
q_ind_109_pop_0,0.003217,0.000000,0.000000,0.013636
q_ind_110_pop_0,0.272231,0.000000,0.000000,0.830743
q_ind_111_pop_0,0.333343,0.000000,0.000000,1.000000
q_ind_112_pop_0,0.000827,0.000000,0.000000,0.015473
q_ind_113_pop_0,0.333153,0.000000,0.000000,1.000000
q_ind_114_pop_0,0.333332,0.000000,0.000000,1.000000
q_ind_115_pop_0,0.333355,0.000000,0.000000,1.000000
q_ind_116_pop_0,0.334363,0.000002,0.000000,1.000000
q_ind_117_pop_0,0.333308,0.000000,0.000000,1.000000
q_ind_118_pop_0,0.328868,0.000000,0.000000,0.992843
q_ind_119_pop_0,0.993350,0.999977,0.965876,1.000000
q_ind_120_pop_0,0.946665,0.940051,0.910095,0.980574
q_ind_121_pop_0,0.999885,1.000000,0.999141,1.000000
q_ind_122_pop_0,0.000017,0.000000,0.000000,0.000112
q_ind_123_pop_0,0.999092,1.000000,0.985767,1.000000
q_ind_124_pop_0,0.999716,1.000000,0.996623,1.000000
q_ind_125_pop_0,0.949228,0.940141,0.903932,0.988361
q_ind_126_pop_0,0.082073,0.085374,0.048090,0.110984
q_ind_127_pop_0,0.973372,0.969324,0.934928,1.000000
q_ind_128_pop_0,0.748029,0.667380,0.624569,0.945909
q_ind_129_pop_0,0.999902,1.000000,0.999264,1.000000
q_ind_130_pop_0,0.947883,0.931705,0.896128,1.000000
q_ind_131_pop_0,0.999767,1.000000,0.997931,1.000000
q_ind_132_pop_0,0.999797,1.000000,0.998704,1.000000
q_ind_133_pop_0,0.000007,0.000000,0.000000,0.000045
q_ind_134_pop_0,0.000004,0.000000,0.000000,0.000022
q_ind_135_pop_0,0.000010,0.000000,0.000000,0.000050
q_ind_136_pop_0,0.000014,0.000000,0.000000,0.000068
q_ind_137_pop_0,0.000004,0.000000,0.000000,0.000026
q_ind_138_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_139_pop_0,0.000006,0.000000,0.000000,0.000031
q_ind_140_pop_0,0.000064,0.000000,0.000000,0.000340
q_ind_141_pop_0,0.000007,0.000000,0.000000,0.000040
q_ind_142_pop_0,0.000012,0.000000,0.000000,0.000073
q_ind_143_pop_0,0.000013,0.000000,0.000000,0.000079
q_ind_144_pop_0,0.000007,0.000000,0.000000,0.000046
q_ind_145_pop_0,0.000029,0.000000,0.000000,0.000284
q_ind_146_pop_0,0.000006,0.000000,0.000000,0.000030
q_ind_147_pop_0,0.022869,0.000000,0.000000,0.075726
q_ind_148_pop_0,0.000035,0.000000,0.000000,0.000333
q_ind_149_pop_0,0.327009,0.000000,0.000000,0.985528
q_ind_150_pop_0,0.003298,0.000000,0.000000,0.013187
q_ind_151_pop_0,0.328392,0.000000,0.000000,0.988823
q_ind_152_pop_0,0.005165,0.000000,0.000000,0.019522
q_ind_153_pop_0,0.298797,0.000000,0.000000,0.904601
q_ind_154_pop_0,0.002154,0.000000,0.000000,0.009532
q_ind_155_pop_0,0.340094,0.014650,0.000000,1.000000
q_ind_156_pop_0,0.331519,0.000000,0.000000,0.996826
q_ind_157_pop_0,0.333336,0.000000,0.000000,1.000000
q_ind_158_pop_0,0.333333,0.000000,0.000000,1.000000
q_ind_159_pop_0,0.330280,0.000000,0.000000,0.993803
q_ind_160_pop_0,0.325602,0.000000,0.000000,0.981531
q_ind_161_pop_0,0.328842,0.000000,0.000000,0.990178
q_ind_162_pop_0,0.003651,0.000000,0.000000,0.014586
q_ind_163_pop_0,0.333321,0.000000,0.000000,1.000000
q_ind_164_pop_0,0.003439,0.000000,0.000000,0.014062
q_ind_165_pop_0,0.000106,0.000000,0.000000,0.001586
q_ind_166_pop_0,0.000352,0.000000,0.000000,0.004035
q_ind_167_pop_0,0.332284,0.000000,0.000000,0.998791
q_ind_168_pop_0,0.333322,0.000000,0.000000,1.000000
q_ind_169_pop_0,0.754513,0.675087,0.627080,0.955360
q_ind_170_pop_0,0.999710,1.000000,0.997166,1.000000
q_ind_171_pop_0,0.952877,0.941131,0.899529,1.000000
q_ind_172_pop_0,0.054726,0.052560,0.030291,0.096850
q_ind_173_pop_0,0.999944,1.000000,0.999547,1.000000
q_ind_174_pop_0,0.999764,1.000000,0.997829,1.000000
q_ind_175_pop_0,0.999802,1.000000,0.998215,1.000000
q_ind_176_pop_0,0.957720,0.945227,0.910893,1.000000
q_ind_177_pop_0,0.602510,0.603126,0.558976,0.643820
q_ind_178_pop_0,0.721973,0.649633,0.587913,0.913943
q_ind_179_pop_0,0.978091,0.979372,0.936645,1.000000
q_ind_180_pop_0,0.987124,0.999489,0.953740,1.000000
q_ind_181_pop_0,0.985910,0.985938,0.959034,1.000000
q_ind_182_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_183_pop_0,0.000004,0.000000,0.000000,0.000021
