param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2124.06,1.000
q_ind_1_pop_0,3472.57,1.001
q_ind_2_pop_0,1622.90,1.000
q_ind_3_pop_0,989.88,1.002
q_ind_4_pop_0,4399.32,1.000
q_ind_5_pop_0,3401.90,1.000
q_ind_6_pop_0,2603.40,1.000
q_ind_7_pop_0,4552.10,1.000
q_ind_8_pop_0,3094.36,1.000
q_ind_9_pop_0,5456.14,1.000
q_ind_10_pop_0,1743.92,1.001
q_ind_11_pop_0,3621.95,1.000
q_ind_12_pop_0,2768.39,1.000
q_ind_13_pop_0,3756.75,1.000
q_ind_14_pop_0,732.49,1.003
q_ind_15_pop_0,1079.95,1.000
q_ind_16_pop_0,1170.61,1.000
q_ind_17_pop_0,1358.94,1.000
q_ind_18_pop_0,307.62,1.009
q_ind_19_pop_0,1875.63,1.000
q_ind_20_pop_0,2080.44,1.000
q_ind_21_pop_0,4874.80,1.000
q_ind_22_pop_0,2413.41,1.000
q_ind_23_pop_0,4129.38,1.000
q_ind_24_pop_0,5008.70,1.001
q_ind_25_pop_0,1067.78,1.003
q_ind_26_pop_0,180.73,1.004
q_ind_27_pop_0,3849.90,1.000
q_ind_28_pop_0,2015.03,1.001
q_ind_29_pop_0,898.39,1.001
q_ind_30_pop_0,1738.18,1.000
q_ind_31_pop_0,6535.13,1.000
q_ind_32_pop_0,6152.82,1.000
q_ind_33_pop_0,1842.79,1.001
q_ind_34_pop_0,2092.83,1.000
q_ind_35_pop_0,5906.17,1.000
q_ind_36_pop_0,2146.96,1.001
q_ind_37_pop_0,3848.15,1.000
q_ind_38_pop_0,1820.65,1.001
q_ind_39_pop_0,4718.51,1.000
q_ind_40_pop_0,3495.28,1.001
q_ind_41_pop_0,5733.06,1.000
q_ind_42_pop_0,5858.25,1.000
q_ind_43_pop_0,5837.92,1.000
q_ind_44_pop_0,4167.66,1.000
q_ind_45_pop_0,3182.81,1.000
q_ind_46_pop_0,1365.88,1.001
q_ind_47_pop_0,1532.25,1.000
q_ind_48_pop_0,3252.95,1.001
q_ind_49_pop_0,1458.48,1.000
q_ind_50_pop_0,1263.58,1.002
q_ind_51_pop_0,1124.37,1.001
q_ind_52_pop_0,4067.40,1.001
q_ind_53_pop_0,2129.17,1.001
q_ind_54_pop_0,2139.09,1.003
q_ind_55_pop_0,2525.63,1.001
q_ind_56_pop_0,2306.20,1.003
q_ind_57_pop_0,2433.41,1.000
q_ind_58_pop_0,2484.49,1.000
q_ind_59_pop_0,1940.89,1.000
q_ind_60_pop_0,2241.25,1.000
q_ind_61_pop_0,596.42,1.014
q_ind_62_pop_0,2089.21,1.000
q_ind_63_pop_0,989.40,1.000
q_ind_64_pop_0,256.24,1.002
q_ind_65_pop_0,5870.23,1.000
q_ind_66_pop_0,4748.22,1.000
q_ind_67_pop_0,7962.85,1.000
q_ind_68_pop_0,4812.25,1.000
q_ind_69_pop_0,5496.81,1.000
q_ind_70_pop_0,6110.03,1.000
q_ind_71_pop_0,1799.91,1.000
q_ind_72_pop_0,1876.86,1.001
q_ind_73_pop_0,6091.81,1.000
q_ind_74_pop_0,496.14,1.002
q_ind_75_pop_0,1077.59,1.000
q_ind_76_pop_0,2436.63,1.001
q_ind_77_pop_0,1626.99,1.001
q_ind_78_pop_0,1259.17,1.000
q_ind_79_pop_0,498.27,1.002
q_ind_80_pop_0,1483.99,1.001
q_ind_81_pop_0,3581.99,1.001
q_ind_82_pop_0,1575.91,1.001
q_ind_83_pop_0,1375.01,1.000
q_ind_84_pop_0,1807.46,1.000
q_ind_85_pop_0,861.14,1.001
q_ind_86_pop_0,2418.63,1.001
q_ind_87_pop_0,3862.31,1.000
q_ind_88_pop_0,2416.84,1.002
q_ind_89_pop_0,3196.33,1.000
q_ind_90_pop_0,1220.29,1.001
q_ind_91_pop_0,1474.26,1.000
q_ind_92_pop_0,1729.32,1.000
q_ind_93_pop_0,3946.34,1.001
q_ind_94_pop_0,2784.67,1.000
q_ind_95_pop_0,4389.76,1.000
q_ind_96_pop_0,4407.67,1.000
q_ind_97_pop_0,4841.25,1.002
q_ind_98_pop_0,5065.27,1.000
q_ind_99_pop_0,6336.47,1.000
q_ind_100_pop_0,4380.30,1.000
q_ind_101_pop_0,3575.28,1.000
q_ind_102_pop_0,3782.15,1.000
q_ind_103_pop_0,2626.75,1.000
q_ind_104_pop_0,4599.81,1.000
q_ind_105_pop_0,3430.58,1.000
q_ind_106_pop_0,3088.58,1.000
q_ind_107_pop_0,6000.93,1.001
q_ind_108_pop_0,5700.87,1.000
q_ind_109_pop_0,3567.36,1.000
q_ind_110_pop_0,3262.86,1.001
q_ind_111_pop_0,4321.19,1.000
q_ind_112_pop_0,1272.46,1.002
q_ind_113_pop_0,4634.14,1.000
q_ind_114_pop_0,5930.05,1.000
q_ind_115_pop_0,4487.24,1.000
q_ind_116_pop_0,2561.74,1.001
q_ind_117_pop_0,3027.62,1.000
q_ind_118_pop_0,3002.52,1.002
q_ind_119_pop_0,5376.97,1.000
q_ind_120_pop_0,7037.85,1.000
q_ind_121_pop_0,5755.76,1.000
q_ind_122_pop_0,520.26,1.005
q_ind_123_pop_0,6320.00,1.000
q_ind_124_pop_0,5513.45,1.001
q_ind_125_pop_0,7500.79,1.001
q_ind_126_pop_0,1166.19,1.001
q_ind_127_pop_0,6531.74,1.000
q_ind_128_pop_0,3485.30,1.000
q_ind_129_pop_0,4551.11,1.000
q_ind_130_pop_0,5951.10,1.000
q_ind_131_pop_0,5785.00,1.000
q_ind_132_pop_0,2794.76,1.001
q_ind_133_pop_0,4778.75,1.000
q_ind_134_pop_0,4941.15,1.000
q_ind_135_pop_0,1730.41,1.003
q_ind_136_pop_0,1670.99,1.001
q_ind_137_pop_0,4127.25,1.000
q_ind_138_pop_0,6239.13,1.000
q_ind_139_pop_0,2163.46,1.000
q_ind_140_pop_0,302.06,1.000
q_ind_141_pop_0,4537.57,1.000
q_ind_142_pop_0,1735.47,1.001
q_ind_143_pop_0,2807.28,1.001
q_ind_144_pop_0,4057.57,1.000
q_ind_145_pop_0,3834.00,1.000
q_ind_146_pop_0,5938.08,1.000
q_ind_147_pop_0,3840.13,1.000
q_ind_148_pop_0,3142.96,1.001
q_ind_149_pop_0,6893.85,1.000
q_ind_150_pop_0,5175.23,1.000
q_ind_151_pop_0,7361.22,1.000
q_ind_152_pop_0,4754.93,1.000
q_ind_153_pop_0,7702.50,1.000
q_ind_154_pop_0,2754.04,1.000
q_ind_155_pop_0,6710.71,1.000
q_ind_156_pop_0,5041.04,1.000
q_ind_157_pop_0,7831.66,1.000
q_ind_158_pop_0,7168.69,1.001
q_ind_159_pop_0,7918.61,1.000
q_ind_160_pop_0,6047.38,1.000
q_ind_161_pop_0,8207.64,1.000
q_ind_162_pop_0,5324.91,1.000
q_ind_163_pop_0,5962.72,1.000
q_ind_164_pop_0,2839.07,1.001
q_ind_165_pop_0,3775.78,1.000
q_ind_166_pop_0,4535.98,1.000
q_ind_167_pop_0,7605.96,1.000
q_ind_168_pop_0,7580.10,1.000
q_ind_169_pop_0,2247.24,1.001
q_ind_170_pop_0,1763.57,1.001
q_ind_171_pop_0,4739.49,1.001
q_ind_172_pop_0,389.45,1.009
q_ind_173_pop_0,6302.69,1.000
q_ind_174_pop_0,4485.04,1.000
q_ind_175_pop_0,6957.19,1.000
q_ind_176_pop_0,8076.55,1.000
q_ind_177_pop_0,251.60,1.005
q_ind_178_pop_0,2512.72,1.000
q_ind_179_pop_0,2177.37,1.000
q_ind_180_pop_0,6508.69,1.000
q_ind_181_pop_0,6065.31,1.000
q_ind_182_pop_0,7666.18,1.000
q_ind_183_pop_0,6975.08,1.000
q_ind_184_pop_0,5161.48,1.000
q_ind_185_pop_0,5468.88,1.000
q_ind_186_pop_0,4265.85,1.000
q_ind_187_pop_0,7361.92,1.000
q_ind_188_pop_0,7424.33,1.000
q_ind_189_pop_0,4397.43,1.000
q_ind_190_pop_0,5034.29,1.000
q_ind_191_pop_0,8353.56,1.000
q_ind_192_pop_0,6936.85,1.000
q_ind_193_pop_0,5632.81,1.000
q_ind_194_pop_0,7816.62,1.000
q_ind_195_pop_0,6272.52,1.000
q_ind_196_pop_0,5602.47,1.000
q_ind_197_pop_0,5765.82,1.000
q_ind_198_pop_0,6234.14,1.000
q_ind_199_pop_0,6699.86,1.000
q_ind_200_pop_0,6929.74,1.000
q_ind_201_pop_0,8435.48,1.000
q_ind_202_pop_0,6617.60,1.000
q_ind_203_pop_0,6203.84,1.000
q_ind_204_pop_0,6137.38,1.000
q_ind_205_pop_0,6271.29,1.000
q_ind_206_pop_0,5818.74,1.000
q_ind_207_pop_0,6033.85,1.000
q_ind_208_pop_0,6417.18,1.000
q_ind_209_pop_0,6808.76,1.000
q_ind_210_pop_0,6994.63,1.000
q_ind_211_pop_0,5674.59,1.000
q_ind_212_pop_0,7041.70,1.000
q_ind_213_pop_0,5968.13,1.000
q_ind_214_pop_0,5324.37,1.001
q_ind_215_pop_0,6668.55,1.000
q_ind_216_pop_0,7086.29,1.000
q_ind_217_pop_0,6438.39,1.001
q_ind_218_pop_0,7675.20,1.000
q_ind_219_pop_0,4471.66,1.001
q_ind_220_pop_0,6380.11,1.000
q_ind_221_pop_0,4077.19,1.001
q_ind_222_pop_0,335.93,1.001
q_ind_223_pop_0,174.17,1.001
q_ind_224_pop_0,558.74,1.005
q_ind_225_pop_0,494.76,1.000
q_ind_226_pop_0,745.57,1.004
q_ind_227_pop_0,216.44,1.002
q_ind_228_pop_0,251.03,1.002
q_ind_229_pop_0,2424.80,1.000
q_ind_230_pop_0,2482.00,1.002
