param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.999273,0.999999,0.992419,1.000000
q_ind_1_pop_0,0.999939,1.000000,0.999375,1.000000
q_ind_2_pop_0,0.000167,0.000000,0.000000,0.002398
q_ind_3_pop_0,0.999695,0.999999,0.997141,1.000000
q_ind_4_pop_0,0.999860,1.000000,0.998861,1.000000
q_ind_5_pop_0,0.000036,0.000000,0.000000,0.000182
q_ind_6_pop_0,0.000022,0.000000,0.000000,0.000121
q_ind_7_pop_0,0.000026,0.000000,0.000000,0.000138
q_ind_8_pop_0,0.999685,0.999999,0.996333,1.000000
q_ind_9_pop_0,0.000020,0.000000,0.000000,0.000102
q_ind_10_pop_0,0.675046,0.659366,0.616454,0.740714
q_ind_11_pop_0,0.999902,1.000000,0.998970,1.000000
q_ind_12_pop_0,0.000014,0.000000,0.000000,0.000091
q_ind_13_pop_0,0.993893,0.999057,0.974755,1.000000
q_ind_14_pop_0,0.000040,0.000000,0.000000,0.000258
q_ind_15_pop_0,0.000057,0.000000,0.000000,0.000244
q_ind_16_pop_0,0.000027,0.000000,0.000000,0.000129
q_ind_17_pop_0,0.000042,0.000000,0.000000,0.000201
q_ind_18_pop_0,0.000029,0.000000,0.000000,0.000150
q_ind_19_pop_0,0.000045,0.000000,0.000000,0.000300
q_ind_20_pop_0,0.000035,0.000000,0.000000,0.000136
q_ind_21_pop_0,0.999948,1.000000,0.999489,1.000000
q_ind_22_pop_0,0.999952,1.000000,0.999534,1.000000
q_ind_23_pop_0,0.999713,1.000000,0.996888,1.000000
q_ind_24_pop_0,0.999956,1.000000,0.999570,1.000000
q_ind_25_pop_0,0.998043,0.999978,0.983863,1.000000
q_ind_26_pop_0,0.690441,0.678204,0.638292,0.748747
q_ind_27_pop_0,0.999917,1.000000,0.999225,1.000000
q_ind_28_pop_0,0.140970,0.000001,0.000000,0.360061
q_ind_29_pop_0,0.243200,0.236334,0.165353,0.333538
q_ind_30_pop_0,0.999840,1.000000,0.998540,1.000000
q_ind_31_pop_0,0.000009,0.000000,0.000000,0.000053
q_ind_32_pop_0,0.000009,0.000000,0.000000,0.000055
q_ind_33_pop_0,0.140869,0.000000,0.000000,0.360917
q_ind_34_pop_0,0.137280,0.000000,0.000000,0.351412
q_ind_35_pop_0,0.000011,0.000000,0.000000,0.000081
q_ind_36_pop_0,0.000032,0.000000,0.000000,0.000319
q_ind_37_pop_0,0.000395,0.000000,0.000000,0.005471
q_ind_38_pop_0,0.000032,0.000000,0.000000,0.000116
q_ind_39_pop_0,0.999941,1.000000,0.999413,1.000000
q_ind_40_pop_0,0.010920,0.010694,0.002572,0.020252
q_ind_41_pop_0,0.000009,0.000000,0.000000,0.000056
q_ind_42_pop_0,0.000011,0.000000,0.000000,0.000075
q_ind_43_pop_0,0.000009,0.000000,0.000000,0.000051
q_ind_44_pop_0,0.000007,0.000000,0.000000,0.000037
q_ind_45_pop_0,0.000019,0.000000,0.000000,0.000117
q_ind_46_pop_0,0.000012,0.000000,0.000000,0.000066
q_ind_47_pop_0,0.000006,0.000000,0.000000,0.000027
q_ind_48_pop_0,0.999946,1.000000,0.999463,1.000000
q_ind_49_pop_0,0.000012,0.000000,0.000000,0.000075
q_ind_50_pop_0,0.000008,0.000000,0.000000,0.000052
q_ind_51_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_52_pop_0,0.000014,0.000000,0.000000,0.000101
q_ind_53_pop_0,0.000017,0.000000,0.000000,0.000099
q_ind_54_pop_0,0.000110,0.000000,0.000000,0.001006
q_ind_55_pop_0,0.000062,0.000000,0.000000,0.000428
q_ind_56_pop_0,0.000018,0.000000,0.000000,0.000095
q_ind_57_pop_0,0.000010,0.000000,0.000000,0.000068
q_ind_58_pop_0,0.000014,0.000000,0.000000,0.000076
q_ind_59_pop_0,0.000011,0.000000,0.000000,0.000051
q_ind_60_pop_0,0.000025,0.000000,0.000000,0.000083
q_ind_61_pop_0,0.595675,0.589824,0.535750,0.659697
q_ind_62_pop_0,0.999840,1.000000,0.998320,1.000000
q_ind_63_pop_0,0.999884,1.000000,0.998888,1.000000
q_ind_64_pop_0,0.002439,0.000000,0.000000,0.030768
q_ind_65_pop_0,0.000006,0.000000,0.000000,0.000035
q_ind_66_pop_0,0.000006,0.000000,0.000000,0.000040
q_ind_67_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_68_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_69_pop_0,0.000010,0.000000,0.000000,0.000061
q_ind_70_pop_0,0.000010,0.000000,0.000000,0.000066
q_ind_71_pop_0,0.000103,0.000000,0.000000,0.000774
q_ind_72_pop_0,0.000115,0.000000,0.000000,0.001442
q_ind_73_pop_0,0.000013,0.000000,0.000000,0.000060
q_ind_74_pop_0,0.000110,0.000000,0.000000,0.001157
q_ind_75_pop_0,0.000100,0.000000,0.000000,0.001176
q_ind_76_pop_0,0.000017,0.000000,0.000000,0.000145
q_ind_77_pop_0,0.011711,0.011587,0.000000,0.022672
q_ind_78_pop_0,0.000100,0.000000,0.000000,0.000816
q_ind_79_pop_0,0.000159,0.000000,0.000000,0.001141
q_ind_80_pop_0,0.001985,0.000000,0.000000,0.025706
q_ind_81_pop_0,0.000017,0.000000,0.000000,0.000112
q_ind_82_pop_0,0.000020,0.000000,0.000000,0.000093
q_ind_83_pop_0,0.000025,0.000000,0.000000,0.000116
q_ind_84_pop_0,0.000029,0.000000,0.000000,0.000190
q_ind_85_pop_0,0.032852,0.037068,0.000000,0.070321
q_ind_86_pop_0,0.999914,1.000000,0.999147,1.000000
q_ind_87_pop_0,0.999891,1.000000,0.998848,1.000000
q_ind_88_pop_0,0.005513,0.005137,0.000000,0.015822
q_ind_89_pop_0,0.999841,1.000000,0.998210,1.000000
q_ind_90_pop_0,0.999808,1.000000,0.997990,1.000000
q_ind_91_pop_0,0.000019,0.000000,0.000000,0.000107
q_ind_92_pop_0,0.999918,1.000000,0.999166,1.000000
q_ind_93_pop_0,0.000011,0.000000,0.000000,0.000064
q_ind_94_pop_0,0.000023,0.000000,0.000000,0.000154
q_ind_95_pop_0,0.105610,0.105518,0.087168,0.124883
q_ind_96_pop_0,0.000014,0.000000,0.000000,0.000087
q_ind_97_pop_0,0.000014,0.000000,0.000000,0.000090
q_ind_98_pop_0,0.000023,0.000000,0.000000,0.000151
q_ind_99_pop_0,0.000003,0.000000,0.000000,0.000016
q_ind_100_pop_0,0.999957,1.000000,0.999564,1.000000
q_ind_101_pop_0,0.070007,0.069801,0.057078,0.083706
q_ind_102_pop_0,0.000011,0.000000,0.000000,0.000041
q_ind_103_pop_0,0.999822,1.000000,0.998110,1.000000
q_ind_104_pop_0,0.999964,1.000000,0.999651,1.000000
q_ind_105_pop_0,0.999811,1.000000,0.998041,1.000000
q_ind_106_pop_0,0.026336,0.026083,0.017663,0.036351
q_ind_107_pop_0,0.000005,0.000000,0.000000,0.000023
q_ind_108_pop_0,0.000005,0.000000,0.000000,0.000026
