param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000013,0.000000,0.000000,0.000083
q_ind_1_pop_0,0.000010,0.000000,0.000000,0.000056
q_ind_2_pop_0,0.844965,0.935368,0.627242,0.957931
q_ind_3_pop_0,0.000179,0.000000,0.000000,0.002492
q_ind_4_pop_0,0.000007,0.000000,0.000000,0.000045
q_ind_5_pop_0,0.854221,0.953896,0.616446,0.974352
q_ind_6_pop_0,0.848669,0.947835,0.612363,0.968413
q_ind_7_pop_0,0.855525,0.954096,0.622973,0.974855
q_ind_8_pop_0,0.000009,0.000000,0.000000,0.000061
q_ind_9_pop_0,0.792549,0.962995,0.421090,0.978432
q_ind_10_pop_0,0.005076,0.004460,0.000000,0.016036
q_ind_11_pop_0,0.000017,0.000000,0.000000,0.000136
q_ind_12_pop_0,0.808514,0.979070,0.439607,0.991649
q_ind_13_pop_0,0.000110,0.000000,0.000000,0.001681
q_ind_14_pop_0,0.000007,0.000000,0.000000,0.000038
q_ind_15_pop_0,0.000007,0.000000,0.000000,0.000036
q_ind_16_pop_0,0.000005,0.000000,0.000000,0.000028
q_ind_17_pop_0,0.000006,0.000000,0.000000,0.000039
q_ind_18_pop_0,0.000017,0.000000,0.000000,0.000097
q_ind_19_pop_0,0.000006,0.000000,0.000000,0.000043
q_ind_20_pop_0,0.796147,0.873922,0.599143,0.903653
q_ind_21_pop_0,0.000006,0.000000,0.000000,0.000030
q_ind_22_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_23_pop_0,0.000012,0.000000,0.000000,0.000073
q_ind_24_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_25_pop_0,0.000507,0.000000,0.000000,0.006476
q_ind_26_pop_0,0.000014,0.000000,0.000000,0.000086
q_ind_27_pop_0,0.000013,0.000000,0.000000,0.000091
q_ind_28_pop_0,0.000012,0.000000,0.000000,0.000055
q_ind_29_pop_0,0.000023,0.000000,0.000000,0.000123
q_ind_30_pop_0,0.000009,0.000000,0.000000,0.000054
q_ind_31_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_32_pop_0,0.000004,0.000000,0.000000,0.000025
q_ind_33_pop_0,0.000010,0.000000,0.000000,0.000063
q_ind_34_pop_0,0.000012,0.000000,0.000000,0.000060
q_ind_35_pop_0,0.000004,0.000000,0.000000,0.000019
q_ind_36_pop_0,0.000008,0.000000,0.000000,0.000047
q_ind_37_pop_0,0.000051,0.000000,0.000000,0.000628
q_ind_38_pop_0,0.000039,0.000000,0.000000,0.000273
q_ind_39_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_40_pop_0,0.000012,0.000000,0.000000,0.000057
q_ind_41_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_42_pop_0,0.000005,0.000000,0.000000,0.000026
q_ind_43_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_44_pop_0,0.000006,0.000000,0.000000,0.000032
q_ind_45_pop_0,0.000011,0.000000,0.000000,0.000066
q_ind_46_pop_0,0.000012,0.000000,0.000000,0.000080
q_ind_47_pop_0,0.000007,0.000000,0.000000,0.000033
q_ind_48_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_49_pop_0,0.000006,0.000000,0.000000,0.000038
q_ind_50_pop_0,0.000007,0.000000,0.000000,0.000040
q_ind_51_pop_0,0.000009,0.000000,0.000000,0.000047
q_ind_52_pop_0,0.824977,0.904425,0.630239,0.927133
q_ind_53_pop_0,0.000044,0.000000,0.000000,0.000278
q_ind_54_pop_0,0.035374,0.000000,0.000000,0.119315
q_ind_55_pop_0,0.829325,0.914346,0.623328,0.935494
q_ind_56_pop_0,0.038158,0.000000,0.000000,0.128706
q_ind_57_pop_0,0.000024,0.000000,0.000000,0.000163
q_ind_58_pop_0,0.001165,0.000000,0.000000,0.020508
q_ind_59_pop_0,0.000019,0.000000,0.000000,0.000116
q_ind_60_pop_0,0.038469,0.000000,0.000000,0.128772
q_ind_61_pop_0,0.010492,0.010535,0.000000,0.027363
q_ind_62_pop_0,0.000076,0.000000,0.000000,0.001137
q_ind_63_pop_0,0.000013,0.000000,0.000000,0.000091
q_ind_64_pop_0,0.084042,0.066430,0.000000,0.188305
q_ind_65_pop_0,0.973588,0.999979,0.900135,1.000000
q_ind_66_pop_0,0.974243,0.999966,0.900466,1.000000
q_ind_67_pop_0,0.968326,0.999984,0.886185,1.000000
q_ind_68_pop_0,0.982749,0.999979,0.931274,1.000000
q_ind_69_pop_0,0.974263,0.999969,0.903214,1.000000
q_ind_70_pop_0,0.984316,0.999969,0.934402,1.000000
q_ind_71_pop_0,0.806676,0.949111,0.462604,0.986159
q_ind_72_pop_0,0.816790,0.887785,0.628489,0.917367
q_ind_73_pop_0,0.955249,0.999898,0.845520,1.000000
q_ind_74_pop_0,0.072918,0.076751,0.031273,0.108811
q_ind_75_pop_0,0.001918,0.000000,0.000000,0.016143
q_ind_76_pop_0,0.951577,0.999907,0.835609,1.000000
q_ind_77_pop_0,0.668353,0.783238,0.399097,0.811900
q_ind_78_pop_0,0.038022,0.029896,0.000000,0.090571
q_ind_79_pop_0,0.070249,0.052737,0.000000,0.156045
q_ind_80_pop_0,0.042526,0.039724,0.000000,0.082841
q_ind_81_pop_0,0.826359,0.915882,0.608581,0.938833
q_ind_82_pop_0,0.000140,0.000000,0.000000,0.002164
q_ind_83_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_84_pop_0,0.813041,0.902651,0.598079,0.925504
q_ind_85_pop_0,0.056161,0.054312,0.016402,0.094733
q_ind_86_pop_0,0.000005,0.000000,0.000000,0.000033
q_ind_87_pop_0,0.000005,0.000000,0.000000,0.000030
q_ind_88_pop_0,0.000173,0.000000,0.000000,0.002554
q_ind_89_pop_0,0.000006,0.000000,0.000000,0.000041
q_ind_90_pop_0,0.000021,0.000000,0.000000,0.000086
q_ind_91_pop_0,0.000017,0.000000,0.000000,0.000104
q_ind_92_pop_0,0.000008,0.000000,0.000000,0.000048
q_ind_93_pop_0,0.000007,0.000000,0.000000,0.000043
q_ind_94_pop_0,0.000105,0.000000,0.000000,0.001558
q_ind_95_pop_0,0.000007,0.000000,0.000000,0.000041
q_ind_96_pop_0,0.000009,0.000000,0.000000,0.000049
q_ind_97_pop_0,0.000021,0.000000,0.000000,0.000209
q_ind_98_pop_0,0.000017,0.000000,0.000000,0.000109
q_ind_99_pop_0,0.666647,0.999984,0.000000,1.000000
q_ind_100_pop_0,0.000006,0.000000,0.000000,0.000031
q_ind_101_pop_0,0.616871,0.920450,0.000000,0.938049
q_ind_102_pop_0,0.671485,0.999944,0.005211,1.000000
q_ind_103_pop_0,0.000130,0.000000,0.000000,0.002035
q_ind_104_pop_0,0.000005,0.000000,0.000000,0.000028
q_ind_105_pop_0,0.000065,0.000000,0.000000,0.000833
q_ind_106_pop_0,0.646435,0.966311,0.000000,0.978207
q_ind_107_pop_0,0.666635,0.999975,0.000000,1.000000
q_ind_108_pop_0,0.666624,0.999973,0.000000,1.000000
q_ind_109_pop_0,0.006757,0.008141,0.000000,0.015334
q_ind_110_pop_0,0.544008,0.809076,0.000000,0.834372
q_ind_111_pop_0,0.666632,0.999972,0.000000,1.000000
q_ind_112_pop_0,0.001635,0.000000,0.000000,0.022139
q_ind_113_pop_0,0.665990,0.999276,0.000000,1.000000
q_ind_114_pop_0,0.666639,0.999982,0.000000,1.000000
q_ind_115_pop_0,0.666638,0.999966,0.000000,1.000000
q_ind_116_pop_0,0.667215,0.999943,0.000000,1.000000
q_ind_117_pop_0,0.666502,0.999898,0.000000,1.000000
q_ind_118_pop_0,0.657241,0.982751,0.000000,0.993204
q_ind_119_pop_0,0.998306,0.999998,0.976718,1.000000
q_ind_120_pop_0,0.961451,0.974574,0.914344,0.981740
q_ind_121_pop_0,0.999815,0.999999,0.999127,1.000000
q_ind_122_pop_0,0.000014,0.000000,0.000000,0.000082
q_ind_123_pop_0,0.999393,0.999999,0.993026,1.000000
q_ind_124_pop_0,0.999374,0.999999,0.990348,1.000000
q_ind_125_pop_0,0.966095,0.983448,0.907522,0.989133
q_ind_126_pop_0,0.073631,0.070189,0.046570,0.107480
q_ind_127_pop_0,0.986103,0.999980,0.940578,1.000000
q_ind_128_pop_0,0.840924,0.927111,0.630789,0.950404
q_ind_129_pop_0,0.999673,0.999999,0.998647,1.000000
q_ind_130_pop_0,0.973066,0.999978,0.899442,1.000000
q_ind_131_pop_0,0.999839,0.999999,0.998980,1.000000
q_ind_132_pop_0,0.998831,0.999997,0.982082,1.000000
q_ind_133_pop_0,0.000007,0.000000,0.000000,0.000044
q_ind_134_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_135_pop_0,0.000008,0.000000,0.000000,0.000046
q_ind_136_pop_0,0.000010,0.000000,0.000000,0.000059
