param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,5098.30,1.000
q_ind_1_pop_0,6185.52,1.000
q_ind_2_pop_0,4429.47,1.000
q_ind_3_pop_0,4075.88,1.000
q_ind_4_pop_0,6154.80,1.000
q_ind_5_pop_0,6765.03,1.000
q_ind_6_pop_0,4830.06,1.000
q_ind_7_pop_0,6358.04,1.000
q_ind_8_pop_0,6289.74,1.000
q_ind_9_pop_0,6030.46,1.000
q_ind_10_pop_0,1621.70,1.001
q_ind_11_pop_0,5202.04,1.000
q_ind_12_pop_0,5929.36,1.000
q_ind_13_pop_0,7657.00,1.000
q_ind_14_pop_0,1010.72,1.000
q_ind_15_pop_0,265.05,1.001
q_ind_16_pop_0,920.14,1.001
q_ind_17_pop_0,1014.49,1.000
q_ind_18_pop_0,491.69,1.007
q_ind_19_pop_0,1275.65,1.001
q_ind_20_pop_0,3796.22,1.000
q_ind_21_pop_0,8154.66,1.001
q_ind_22_pop_0,5974.80,1.000
q_ind_23_pop_0,4437.45,1.000
q_ind_24_pop_0,7068.04,1.001
q_ind_25_pop_0,1905.62,1.002
q_ind_26_pop_0,1493.07,1.000
q_ind_27_pop_0,4891.60,1.000
q_ind_28_pop_0,1127.32,1.002
q_ind_29_pop_0,1143.49,1.001
q_ind_30_pop_0,2536.78,1.000
q_ind_31_pop_0,7056.73,1.000
q_ind_32_pop_0,7332.92,1.000
q_ind_33_pop_0,1520.76,1.001
q_ind_34_pop_0,2108.90,1.000
q_ind_35_pop_0,8325.29,1.000
q_ind_36_pop_0,5548.54,1.000
q_ind_37_pop_0,6164.30,1.000
q_ind_38_pop_0,1751.18,1.000
q_ind_39_pop_0,7483.62,1.000
q_ind_40_pop_0,5495.78,1.000
q_ind_41_pop_0,8556.31,1.000
q_ind_42_pop_0,6575.21,1.001
q_ind_43_pop_0,7797.35,1.000
q_ind_44_pop_0,5292.69,1.001
q_ind_45_pop_0,2749.58,1.000
q_ind_46_pop_0,1730.93,1.001
q_ind_47_pop_0,1870.38,1.001
q_ind_48_pop_0,5943.26,1.000
q_ind_49_pop_0,1670.21,1.000
q_ind_50_pop_0,1266.84,1.001
q_ind_51_pop_0,1256.10,1.000
q_ind_52_pop_0,5687.76,1.000
q_ind_53_pop_0,885.38,1.000
q_ind_54_pop_0,515.51,1.000
q_ind_55_pop_0,4772.74,1.001
q_ind_56_pop_0,942.88,1.001
q_ind_57_pop_0,1058.86,1.000
q_ind_58_pop_0,1445.03,1.000
q_ind_59_pop_0,937.53,1.000
q_ind_60_pop_0,744.11,1.000
q_ind_61_pop_0,203.96,1.014
q_ind_62_pop_0,4068.36,1.001
q_ind_63_pop_0,3967.05,1.000
q_ind_64_pop_0,29.67,1.142
q_ind_65_pop_0,7648.21,1.000
q_ind_66_pop_0,4540.37,1.000
q_ind_67_pop_0,8908.49,1.000
q_ind_68_pop_0,7847.00,1.000
q_ind_69_pop_0,7133.68,1.000
q_ind_70_pop_0,6121.18,1.001
q_ind_71_pop_0,2263.63,1.001
q_ind_72_pop_0,3041.92,1.001
q_ind_73_pop_0,8354.11,1.000
q_ind_74_pop_0,416.78,1.006
q_ind_75_pop_0,768.65,1.002
q_ind_76_pop_0,7150.88,1.000
q_ind_77_pop_0,1375.70,1.001
q_ind_78_pop_0,755.77,1.003
q_ind_79_pop_0,129.19,1.029
q_ind_80_pop_0,1269.59,1.000
q_ind_81_pop_0,4137.17,1.000
q_ind_82_pop_0,2086.41,1.002
q_ind_83_pop_0,372.74,1.000
q_ind_84_pop_0,4439.47,1.001
q_ind_85_pop_0,643.57,1.004
q_ind_86_pop_0,2687.44,1.000
q_ind_87_pop_0,3919.91,1.000
q_ind_88_pop_0,3631.89,1.002
q_ind_89_pop_0,5438.70,1.000
q_ind_90_pop_0,2852.85,1.001
q_ind_91_pop_0,1201.08,1.000
q_ind_92_pop_0,2407.53,1.000
q_ind_93_pop_0,5028.00,1.000
q_ind_94_pop_0,5359.41,1.000
q_ind_95_pop_0,4720.31,1.001
q_ind_96_pop_0,5672.29,1.001
q_ind_97_pop_0,4929.72,1.000
q_ind_98_pop_0,8495.80,1.000
q_ind_99_pop_0,8411.03,1.000
q_ind_100_pop_0,6182.57,1.000
q_ind_101_pop_0,3286.10,1.000
q_ind_102_pop_0,7464.65,1.000
q_ind_103_pop_0,5057.36,1.000
q_ind_104_pop_0,6060.65,1.000
q_ind_105_pop_0,4034.88,1.001
q_ind_106_pop_0,2647.39,1.001
q_ind_107_pop_0,6531.36,1.000
q_ind_108_pop_0,4600.62,1.000
q_ind_109_pop_0,4327.49,1.000
q_ind_110_pop_0,4452.70,1.000
q_ind_111_pop_0,9146.30,1.000
q_ind_112_pop_0,1554.53,1.000
q_ind_113_pop_0,4339.15,1.000
q_ind_114_pop_0,7783.88,1.000
q_ind_115_pop_0,4852.50,1.000
q_ind_116_pop_0,3503.24,1.001
q_ind_117_pop_0,2804.90,1.001
q_ind_118_pop_0,3622.53,1.000
q_ind_119_pop_0,6435.72,1.000
q_ind_120_pop_0,7346.73,1.000
q_ind_121_pop_0,5066.84,1.000
q_ind_122_pop_0,559.95,1.000
q_ind_123_pop_0,5345.11,1.000
q_ind_124_pop_0,7602.33,1.000
q_ind_125_pop_0,7337.11,1.000
q_ind_126_pop_0,724.12,1.006
q_ind_127_pop_0,7473.02,1.000
q_ind_128_pop_0,3947.82,1.000
q_ind_129_pop_0,5317.19,1.000
q_ind_130_pop_0,6078.65,1.000
q_ind_131_pop_0,6173.12,1.000
q_ind_132_pop_0,3355.41,1.000
q_ind_133_pop_0,7186.88,1.000
q_ind_134_pop_0,7830.81,1.000
q_ind_135_pop_0,2773.68,1.000
q_ind_136_pop_0,2092.32,1.001
q_ind_137_pop_0,4963.12,1.000
q_ind_138_pop_0,8754.58,1.000
q_ind_139_pop_0,2960.51,1.001
q_ind_140_pop_0,2479.48,1.000
q_ind_141_pop_0,4469.55,1.000
q_ind_142_pop_0,2964.87,1.000
q_ind_143_pop_0,2873.76,1.001
q_ind_144_pop_0,4844.01,1.000
q_ind_145_pop_0,2659.11,1.000
q_ind_146_pop_0,5601.21,1.000
q_ind_147_pop_0,6815.71,1.000
q_ind_148_pop_0,3298.29,1.000
q_ind_149_pop_0,7190.95,1.000
q_ind_150_pop_0,6489.73,1.000
q_ind_151_pop_0,9495.05,1.000
q_ind_152_pop_0,7973.67,1.000
q_ind_153_pop_0,9595.62,1.000
q_ind_154_pop_0,5809.29,1.000
q_ind_155_pop_0,7093.35,1.000
q_ind_156_pop_0,5222.91,1.000
q_ind_157_pop_0,8732.83,1.000
q_ind_158_pop_0,8522.64,1.000
q_ind_159_pop_0,8826.91,1.000
q_ind_160_pop_0,6734.13,1.000
q_ind_161_pop_0,7909.51,1.000
q_ind_162_pop_0,8636.28,1.000
q_ind_163_pop_0,8329.18,1.000
q_ind_164_pop_0,7167.66,1.000
q_ind_165_pop_0,7456.14,1.000
q_ind_166_pop_0,5430.00,1.000
q_ind_167_pop_0,6198.02,1.000
q_ind_168_pop_0,7228.94,1.000
q_ind_169_pop_0,4845.26,1.000
q_ind_170_pop_0,3017.50,1.000
q_ind_171_pop_0,4263.78,1.000
q_ind_172_pop_0,330.36,1.004
q_ind_173_pop_0,7839.36,1.000
q_ind_174_pop_0,5610.73,1.000
q_ind_175_pop_0,6694.96,1.000
q_ind_176_pop_0,8422.45,1.000
q_ind_177_pop_0,181.87,1.006
q_ind_178_pop_0,2340.87,1.001
q_ind_179_pop_0,2646.37,1.001
q_ind_180_pop_0,7258.61,1.000
q_ind_181_pop_0,7660.65,1.000
q_ind_182_pop_0,6078.22,1.000
q_ind_183_pop_0,4498.52,1.000
q_ind_184_pop_0,3551.41,1.000
q_ind_185_pop_0,4397.72,1.000
q_ind_186_pop_0,3786.11,1.001
q_ind_187_pop_0,4751.85,1.000
q_ind_188_pop_0,6386.25,1.000
q_ind_189_pop_0,4161.57,1.000
q_ind_190_pop_0,5430.42,1.000
q_ind_191_pop_0,5947.67,1.000
q_ind_192_pop_0,3735.58,1.001
q_ind_193_pop_0,3779.84,1.000
q_ind_194_pop_0,4521.62,1.000
q_ind_195_pop_0,3688.87,1.000
q_ind_196_pop_0,4724.63,1.000
q_ind_197_pop_0,4004.34,1.000
q_ind_198_pop_0,5699.88,1.000
q_ind_199_pop_0,6159.33,1.000
q_ind_200_pop_0,5998.54,1.000
q_ind_201_pop_0,5161.34,1.000
q_ind_202_pop_0,7716.60,1.000
q_ind_203_pop_0,8555.92,1.000
q_ind_204_pop_0,9374.97,1.000
q_ind_205_pop_0,8940.41,1.000
q_ind_206_pop_0,7237.91,1.000
q_ind_207_pop_0,6910.12,1.000
q_ind_208_pop_0,7483.25,1.000
q_ind_209_pop_0,7784.18,1.000
q_ind_210_pop_0,6450.14,1.000
q_ind_211_pop_0,7842.62,1.000
q_ind_212_pop_0,8446.86,1.000
q_ind_213_pop_0,8125.32,1.000
q_ind_214_pop_0,6841.48,1.000
q_ind_215_pop_0,8486.42,1.000
q_ind_216_pop_0,8486.09,1.000
q_ind_217_pop_0,7293.90,1.000
q_ind_218_pop_0,7932.32,1.000
q_ind_219_pop_0,7393.90,1.000
q_ind_220_pop_0,7070.42,1.000
q_ind_221_pop_0,6200.33,1.000
q_ind_222_pop_0,2345.94,1.000
q_ind_223_pop_0,1928.92,1.000
q_ind_224_pop_0,1430.97,1.001
q_ind_225_pop_0,697.17,1.001
q_ind_226_pop_0,500.42,1.000
q_ind_227_pop_0,1764.24,1.000
q_ind_228_pop_0,2574.97,1.000
q_ind_229_pop_0,1370.55,1.004
q_ind_230_pop_0,710.92,1.002
q_ind_231_pop_0,723.28,1.001
q_ind_232_pop_0,208.09,1.013
q_ind_233_pop_0,1140.71,1.000
q_ind_234_pop_0,3152.12,1.000
q_ind_235_pop_0,4286.60,1.000
q_ind_236_pop_0,1708.77,1.000
q_ind_237_pop_0,1599.72,1.000
q_ind_238_pop_0,1038.95,1.001
q_ind_239_pop_0,361.21,1.000
q_ind_240_pop_0,92.96,1.010
q_ind_241_pop_0,3045.01,1.000
q_ind_242_pop_0,5717.74,1.000
q_ind_243_pop_0,4330.78,1.001
q_ind_244_pop_0,3435.50,1.001
q_ind_245_pop_0,1038.25,1.002
q_ind_246_pop_0,2243.18,1.001
q_ind_247_pop_0,741.00,1.004
q_ind_248_pop_0,468.99,1.005
q_ind_249_pop_0,2211.87,1.000
q_ind_250_pop_0,7637.06,1.000
q_ind_251_pop_0,762.96,1.004
q_ind_252_pop_0,643.44,1.000
q_ind_253_pop_0,5022.37,1.001
q_ind_254_pop_0,1664.58,1.000
q_ind_255_pop_0,282.29,1.000
q_ind_256_pop_0,5084.70,1.000
q_ind_257_pop_0,6049.60,1.000
q_ind_258_pop_0,2169.46,1.004
q_ind_259_pop_0,3697.76,1.000
q_ind_260_pop_0,279.72,1.007
q_ind_261_pop_0,959.04,1.000
q_ind_262_pop_0,394.81,1.003
q_ind_263_pop_0,1208.26,1.003
q_ind_264_pop_0,486.11,1.001
q_ind_265_pop_0,449.13,1.006
q_ind_266_pop_0,491.02,1.001
q_ind_267_pop_0,3520.18,1.000
q_ind_268_pop_0,927.49,1.005
q_ind_269_pop_0,1369.15,1.004
q_ind_270_pop_0,1534.45,1.000
q_ind_271_pop_0,1577.25,1.000
q_ind_272_pop_0,1731.31,1.000
q_ind_273_pop_0,2855.80,1.001
q_ind_274_pop_0,1039.98,1.005
q_ind_275_pop_0,2748.53,1.002
