param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000005,0.000000,0.000000,0.000037
q_ind_1_pop_0,0.000004,0.000000,0.000000,0.000036
q_ind_2_pop_0,0.000017,0.000000,0.000000,0.000161
q_ind_3_pop_0,0.000005,0.000000,0.000000,0.000039
q_ind_4_pop_0,0.000004,0.000000,0.000000,0.000028
q_ind_5_pop_0,0.000013,0.000000,0.000000,0.000112
q_ind_6_pop_0,0.000012,0.000000,0.000000,0.000085
q_ind_7_pop_0,0.000014,0.000000,0.000000,0.000125
q_ind_8_pop_0,0.000005,0.000000,0.000000,0.000044
q_ind_9_pop_0,0.000010,0.000000,0.000000,0.000079
q_ind_10_pop_0,0.000015,0.000000,0.000000,0.000120
q_ind_11_pop_0,0.000005,0.000000,0.000000,0.000033
q_ind_12_pop_0,0.000013,0.000000,0.000000,0.000108
q_ind_13_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_14_pop_0,0.000013,0.000000,0.000000,0.000107
q_ind_15_pop_0,0.000024,0.000000,0.000000,0.000227
q_ind_16_pop_0,0.000006,0.000000,0.000000,0.000048
q_ind_17_pop_0,0.000012,0.000000,0.000000,0.000095
q_ind_18_pop_0,0.000051,0.000000,0.000000,0.000349
q_ind_19_pop_0,0.000009,0.000000,0.000000,0.000072
q_ind_20_pop_0,0.000027,0.000000,0.000000,0.000254
q_ind_21_pop_0,0.000003,0.000000,0.000000,0.000021
q_ind_22_pop_0,0.000004,0.000000,0.000000,0.000035
q_ind_23_pop_0,0.000005,0.000000,0.000000,0.000042
q_ind_24_pop_0,0.000004,0.000000,0.000000,0.000026
q_ind_25_pop_0,0.000016,0.000000,0.000000,0.000137
q_ind_26_pop_0,0.000013,0.000000,0.000000,0.000108
q_ind_27_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_28_pop_0,0.000008,0.000000,0.000000,0.000063
q_ind_29_pop_0,0.000022,0.000000,0.000000,0.000200
q_ind_30_pop_0,0.000006,0.000000,0.000000,0.000048
q_ind_31_pop_0,0.000003,0.000000,0.000000,0.000026
q_ind_32_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_33_pop_0,0.000010,0.000000,0.000000,0.000072
q_ind_34_pop_0,0.000009,0.000000,0.000000,0.000070
q_ind_35_pop_0,0.000003,0.000000,0.000000,0.000021
q_ind_36_pop_0,0.000006,0.000000,0.000000,0.000046
q_ind_37_pop_0,0.000016,0.000000,0.000000,0.000162
q_ind_38_pop_0,0.000043,0.000000,0.000000,0.000490
q_ind_39_pop_0,0.000003,0.000000,0.000000,0.000023
q_ind_40_pop_0,0.000009,0.000000,0.000000,0.000066
q_ind_41_pop_0,0.000004,0.000000,0.000000,0.000031
q_ind_42_pop_0,0.000004,0.000000,0.000000,0.000034
q_ind_43_pop_0,0.000003,0.000000,0.000000,0.000021
q_ind_44_pop_0,0.000007,0.000000,0.000000,0.000061
q_ind_45_pop_0,0.000006,0.000000,0.000000,0.000048
q_ind_46_pop_0,0.213172,0.213180,0.195852,0.230405
q_ind_47_pop_0,0.214824,0.214828,0.197985,0.231315
q_ind_48_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_49_pop_0,0.211539,0.211518,0.195400,0.228293
q_ind_50_pop_0,0.217215,0.217187,0.198786,0.236023
q_ind_51_pop_0,0.214353,0.214260,0.196570,0.232806
q_ind_52_pop_0,0.000009,0.000000,0.000000,0.000077
q_ind_53_pop_0,0.000163,0.000000,0.000000,0.002343
q_ind_54_pop_0,0.000041,0.000000,0.000000,0.000438
q_ind_55_pop_0,0.000015,0.000000,0.000000,0.000162
q_ind_56_pop_0,0.000024,0.000000,0.000000,0.000209
q_ind_57_pop_0,0.000173,0.000000,0.000000,0.002428
q_ind_58_pop_0,0.000028,0.000000,0.000000,0.000233
q_ind_59_pop_0,0.000034,0.000000,0.000000,0.000234
q_ind_60_pop_0,0.000024,0.000000,0.000000,0.000205
q_ind_61_pop_0,0.000482,0.000000,0.000000,0.004629
q_ind_62_pop_0,0.000005,0.000000,0.000000,0.000039
q_ind_63_pop_0,0.000004,0.000000,0.000000,0.000032
q_ind_64_pop_0,0.000077,0.000000,0.000000,0.000794
q_ind_65_pop_0,0.000004,0.000000,0.000000,0.000034
q_ind_66_pop_0,0.000006,0.000000,0.000000,0.000043
q_ind_67_pop_0,0.000003,0.000000,0.000000,0.000020
q_ind_68_pop_0,0.000004,0.000000,0.000000,0.000031
q_ind_69_pop_0,0.000005,0.000000,0.000000,0.000037
q_ind_70_pop_0,0.000008,0.000000,0.000000,0.000066
q_ind_71_pop_0,0.000030,0.000000,0.000000,0.000277
q_ind_72_pop_0,0.000046,0.000000,0.000000,0.000615
q_ind_73_pop_0,0.000006,0.000000,0.000000,0.000056
q_ind_74_pop_0,0.145012,0.144977,0.121008,0.169626
