param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2202.81,1.000
q_ind_1_pop_0,2964.14,1.001
q_ind_2_pop_0,1.57,13.089
q_ind_3_pop_0,268.00,1.008
q_ind_4_pop_0,4037.03,1.000
q_ind_5_pop_0,1.56,13.730
q_ind_6_pop_0,1.55,14.068
q_ind_7_pop_0,1.56,14.859
q_ind_8_pop_0,2799.92,1.001
q_ind_9_pop_0,1.51,29.508
q_ind_10_pop_0,36.89,1.049
q_ind_11_pop_0,2228.10,1.000
q_ind_12_pop_0,1.51,31.522
q_ind_13_pop_0,505.44,1.000
q_ind_14_pop_0,3394.46,1.000
q_ind_15_pop_0,4409.86,1.000
q_ind_16_pop_0,5774.57,1.000
q_ind_17_pop_0,4352.63,1.000
q_ind_18_pop_0,2578.97,1.000
q_ind_19_pop_0,5065.75,1.000
q_ind_20_pop_0,1.61,10.226
q_ind_21_pop_0,3954.87,1.000
q_ind_22_pop_0,7297.78,1.000
q_ind_23_pop_0,2523.44,1.000
q_ind_24_pop_0,6365.34,1.000
q_ind_25_pop_0,185.49,1.005
q_ind_26_pop_0,2598.74,1.000
q_ind_27_pop_0,2526.78,1.001
q_ind_28_pop_0,2348.97,1.000
q_ind_29_pop_0,1377.26,1.000
q_ind_30_pop_0,3666.68,1.000
q_ind_31_pop_0,6656.16,1.000
q_ind_32_pop_0,6833.99,1.000
q_ind_33_pop_0,3794.48,1.002
q_ind_34_pop_0,3475.72,1.001
q_ind_35_pop_0,7982.38,1.000
q_ind_36_pop_0,5211.27,1.001
q_ind_37_pop_0,1425.66,1.010
q_ind_38_pop_0,904.64,1.000
q_ind_39_pop_0,6386.97,1.000
q_ind_40_pop_0,2827.37,1.000
q_ind_41_pop_0,6019.89,1.000
q_ind_42_pop_0,5632.19,1.000
q_ind_43_pop_0,8446.27,1.000
q_ind_44_pop_0,4118.92,1.000
q_ind_45_pop_0,2946.00,1.000
q_ind_46_pop_0,2602.41,1.000
q_ind_47_pop_0,4300.30,1.000
q_ind_48_pop_0,6850.97,1.000
q_ind_49_pop_0,4592.01,1.000
q_ind_50_pop_0,3981.42,1.000
q_ind_51_pop_0,3492.90,1.001
q_ind_52_pop_0,1.58,12.179
q_ind_53_pop_0,764.24,1.006
q_ind_54_pop_0,1.50,11.407
q_ind_55_pop_0,1.56,13.007
q_ind_56_pop_0,1.52,10.848
q_ind_57_pop_0,1822.09,1.000
q_ind_58_pop_0,8.82,1.086
q_ind_59_pop_0,2805.16,1.002
q_ind_60_pop_0,1.50,11.717
q_ind_61_pop_0,58.95,1.008
q_ind_62_pop_0,815.86,1.004
q_ind_63_pop_0,2804.91,1.002
q_ind_64_pop_0,1.63,2.666
q_ind_65_pop_0,1.51,5.675
q_ind_66_pop_0,1.55,4.952
q_ind_67_pop_0,1.50,7.482
q_ind_68_pop_0,1.52,4.482
q_ind_69_pop_0,1.52,5.779
q_ind_70_pop_0,1.59,3.989
q_ind_71_pop_0,1.54,13.149
q_ind_72_pop_0,1.60,8.911
q_ind_73_pop_0,1.51,9.553
q_ind_74_pop_0,2.01,1.934
q_ind_75_pop_0,9.79,1.119
q_ind_76_pop_0,1.50,10.693
q_ind_77_pop_0,1.57,14.963
q_ind_78_pop_0,1.52,2.491
q_ind_79_pop_0,1.31,2.931
q_ind_80_pop_0,7.85,1.968
q_ind_81_pop_0,1.54,13.015
q_ind_82_pop_0,100.00,1.024
q_ind_83_pop_0,5977.82,1.000
q_ind_84_pop_0,1.57,13.440
q_ind_85_pop_0,11.30,1.605
