param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,88.09,1.039
q_ind_1_pop_0,3817.45,1.001
q_ind_2_pop_0,475.21,1.002
q_ind_3_pop_0,955.20,1.001
q_ind_4_pop_0,1580.17,1.001
q_ind_5_pop_0,2324.89,1.000
q_ind_6_pop_0,1725.02,1.001
q_ind_7_pop_0,1924.91,1.000
q_ind_8_pop_0,551.95,1.006
q_ind_9_pop_0,1150.56,1.000
q_ind_10_pop_0,680.26,1.001
q_ind_11_pop_0,2075.33,1.001
q_ind_12_pop_0,3657.74,1.000
q_ind_13_pop_0,47.57,1.029
q_ind_14_pop_0,287.82,1.006
q_ind_15_pop_0,4342.37,1.001
q_ind_16_pop_0,3704.12,1.001
q_ind_17_pop_0,2147.71,1.002
q_ind_18_pop_0,1392.45,1.002
q_ind_19_pop_0,4949.21,1.001
q_ind_20_pop_0,1104.61,1.010
q_ind_21_pop_0,3459.24,1.002
q_ind_22_pop_0,4886.36,1.000
q_ind_23_pop_0,1745.75,1.002
q_ind_24_pop_0,4123.99,1.000
q_ind_25_pop_0,378.23,1.000
q_ind_26_pop_0,1073.85,1.006
q_ind_27_pop_0,2417.31,1.000
q_ind_28_pop_0,13.09,1.035
q_ind_29_pop_0,558.60,1.001
q_ind_30_pop_0,2352.43,1.001
q_ind_31_pop_0,5390.97,1.000
q_ind_32_pop_0,3896.70,1.000
q_ind_33_pop_0,9.13,1.075
q_ind_34_pop_0,9.62,1.064
q_ind_35_pop_0,3342.70,1.000
q_ind_36_pop_0,1141.44,1.000
q_ind_37_pop_0,156.08,1.010
q_ind_38_pop_0,490.83,1.003
q_ind_39_pop_0,3360.71,1.000
q_ind_40_pop_0,1255.65,1.002
q_ind_41_pop_0,4190.68,1.000
q_ind_42_pop_0,3213.88,1.000
q_ind_43_pop_0,3596.57,1.000
q_ind_44_pop_0,1190.04,1.000
q_ind_45_pop_0,1681.47,1.003
q_ind_46_pop_0,7390.33,1.000
q_ind_47_pop_0,4710.89,1.000
q_ind_48_pop_0,2964.76,1.001
q_ind_49_pop_0,5394.70,1.000
q_ind_50_pop_0,4054.58,1.001
q_ind_51_pop_0,4542.35,1.000
q_ind_52_pop_0,2718.15,1.000
q_ind_53_pop_0,2505.80,1.001
q_ind_54_pop_0,2212.37,1.000
q_ind_55_pop_0,2029.22,1.001
q_ind_56_pop_0,2743.87,1.000
q_ind_57_pop_0,3398.73,1.001
q_ind_58_pop_0,4049.04,1.000
q_ind_59_pop_0,3402.25,1.000
q_ind_60_pop_0,2394.77,1.004
q_ind_61_pop_0,416.18,1.008
q_ind_62_pop_0,546.55,1.000
q_ind_63_pop_0,2009.23,1.001
q_ind_64_pop_0,541.84,1.002
q_ind_65_pop_0,4767.08,1.000
q_ind_66_pop_0,2977.00,1.000
q_ind_67_pop_0,9866.85,1.000
q_ind_68_pop_0,5382.90,1.000
q_ind_69_pop_0,5082.21,1.000
q_ind_70_pop_0,3279.31,1.000
q_ind_71_pop_0,96.88,1.016
q_ind_72_pop_0,605.80,1.002
q_ind_73_pop_0,2200.18,1.001
q_ind_74_pop_0,1688.26,1.008
q_ind_75_pop_0,228.92,1.014
q_ind_76_pop_0,2206.01,1.001
q_ind_77_pop_0,566.63,1.001
q_ind_78_pop_0,613.18,1.002
q_ind_79_pop_0,823.13,1.001
q_ind_80_pop_0,3.72,1.713
q_ind_81_pop_0,2104.46,1.000
q_ind_82_pop_0,1900.93,1.001
q_ind_83_pop_0,4748.52,1.001
q_ind_84_pop_0,1881.28,1.001
q_ind_85_pop_0,239.64,1.004
q_ind_86_pop_0,2942.86,1.002
q_ind_87_pop_0,929.77,1.005
q_ind_88_pop_0,243.46,1.006
q_ind_89_pop_0,366.23,1.003
q_ind_90_pop_0,2565.03,1.001
q_ind_91_pop_0,1596.16,1.003
q_ind_92_pop_0,2534.48,1.001
q_ind_93_pop_0,4107.90,1.000
q_ind_94_pop_0,631.00,1.004
q_ind_95_pop_0,1732.24,1.000
q_ind_96_pop_0,1957.80,1.002
q_ind_97_pop_0,1100.19,1.000
q_ind_98_pop_0,2178.79,1.000
q_ind_99_pop_0,8728.02,1.001
q_ind_100_pop_0,5555.08,1.000
q_ind_101_pop_0,731.18,1.001
q_ind_102_pop_0,4472.41,1.000
q_ind_103_pop_0,2480.66,1.000
q_ind_104_pop_0,4125.54,1.000
q_ind_105_pop_0,1200.22,1.002
q_ind_106_pop_0,1687.95,1.002
q_ind_107_pop_0,5770.61,1.000
q_ind_108_pop_0,5018.08,1.000
q_ind_109_pop_0,3050.61,1.000
q_ind_110_pop_0,2870.18,1.000
q_ind_111_pop_0,3851.59,1.000
q_ind_112_pop_0,4987.92,1.000
q_ind_113_pop_0,4458.30,1.000
q_ind_114_pop_0,6367.37,1.000
q_ind_115_pop_0,2450.40,1.001
q_ind_116_pop_0,4378.89,1.000
q_ind_117_pop_0,2604.54,1.001
q_ind_118_pop_0,3166.39,1.001
q_ind_119_pop_0,5801.79,1.000
q_ind_120_pop_0,4027.89,1.000
q_ind_121_pop_0,6023.69,1.001
q_ind_122_pop_0,625.00,1.014
q_ind_123_pop_0,3422.30,1.000
q_ind_124_pop_0,6767.00,1.000
q_ind_125_pop_0,4275.02,1.000
q_ind_126_pop_0,70.13,1.087
q_ind_127_pop_0,6897.41,1.000
q_ind_128_pop_0,2409.74,1.001
q_ind_129_pop_0,4874.99,1.000
q_ind_130_pop_0,5510.43,1.000
q_ind_131_pop_0,5570.96,1.000
q_ind_132_pop_0,791.24,1.002
q_ind_133_pop_0,1749.58,1.001
q_ind_134_pop_0,5075.66,1.001
q_ind_135_pop_0,1092.10,1.001
q_ind_136_pop_0,1185.99,1.001
q_ind_137_pop_0,3704.79,1.000
q_ind_138_pop_0,3686.08,1.001
q_ind_139_pop_0,1642.68,1.001
q_ind_140_pop_0,763.66,1.004
q_ind_141_pop_0,3351.89,1.000
q_ind_142_pop_0,1306.84,1.001
q_ind_143_pop_0,898.84,1.003
q_ind_144_pop_0,772.00,1.001
q_ind_145_pop_0,1077.48,1.003
q_ind_146_pop_0,2790.77,1.001
q_ind_147_pop_0,1877.30,1.035
q_ind_148_pop_0,1581.79,1.001
q_ind_149_pop_0,1393.16,1.009
q_ind_150_pop_0,945.03,1.059
q_ind_151_pop_0,7.47,1.251
q_ind_152_pop_0,2753.78,1.001
q_ind_153_pop_0,5204.66,1.000
q_ind_154_pop_0,4425.81,1.000
q_ind_155_pop_0,46.04,1.129
q_ind_156_pop_0,5527.78,1.001
