param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,3499.51,1.001
q_ind_1_pop_0,4353.29,1.000
q_ind_2_pop_0,1.57,10.500
q_ind_3_pop_0,611.31,1.001
q_ind_4_pop_0,4337.65,1.000
q_ind_5_pop_0,1.56,11.016
q_ind_6_pop_0,1.53,11.399
q_ind_7_pop_0,1.56,11.644
q_ind_8_pop_0,3522.00,1.000
q_ind_9_pop_0,1.51,23.597
q_ind_10_pop_0,6.19,1.281
q_ind_11_pop_0,1995.69,1.001
q_ind_12_pop_0,1.52,23.294
q_ind_13_pop_0,772.87,1.001
q_ind_14_pop_0,5115.06,1.001
q_ind_15_pop_0,5644.21,1.000
q_ind_16_pop_0,7047.29,1.000
q_ind_17_pop_0,6291.15,1.001
q_ind_18_pop_0,1145.18,1.002
q_ind_19_pop_0,4590.31,1.000
q_ind_20_pop_0,1.59,9.045
q_ind_21_pop_0,6076.62,1.000
q_ind_22_pop_0,7120.77,1.000
q_ind_23_pop_0,3017.46,1.000
q_ind_24_pop_0,6678.21,1.000
q_ind_25_pop_0,99.86,1.010
q_ind_26_pop_0,3539.02,1.001
q_ind_27_pop_0,2080.85,1.000
q_ind_28_pop_0,2490.29,1.000
q_ind_29_pop_0,822.63,1.003
q_ind_30_pop_0,6165.19,1.000
q_ind_31_pop_0,6708.87,1.001
q_ind_32_pop_0,7548.75,1.000
q_ind_33_pop_0,2520.85,1.001
q_ind_34_pop_0,2940.16,1.001
q_ind_35_pop_0,7792.26,1.000
q_ind_36_pop_0,4361.19,1.000
q_ind_37_pop_0,1284.98,1.002
q_ind_38_pop_0,907.85,1.002
q_ind_39_pop_0,6795.79,1.000
q_ind_40_pop_0,3658.65,1.001
q_ind_41_pop_0,7843.42,1.000
q_ind_42_pop_0,4214.49,1.000
q_ind_43_pop_0,7162.36,1.000
q_ind_44_pop_0,3153.26,1.000
q_ind_45_pop_0,3279.03,1.001
q_ind_46_pop_0,3687.81,1.000
q_ind_47_pop_0,3579.94,1.001
q_ind_48_pop_0,5432.55,1.000
q_ind_49_pop_0,4606.94,1.000
q_ind_50_pop_0,4565.32,1.000
q_ind_51_pop_0,1493.35,1.001
q_ind_52_pop_0,1.58,10.486
q_ind_53_pop_0,208.46,1.007
q_ind_54_pop_0,1.70,6.670
q_ind_55_pop_0,1.58,11.069
q_ind_56_pop_0,1.82,4.490
q_ind_57_pop_0,537.31,1.007
q_ind_58_pop_0,16.32,1.104
q_ind_59_pop_0,666.58,1.003
q_ind_60_pop_0,1.79,5.985
q_ind_61_pop_0,33.86,1.013
q_ind_62_pop_0,964.89,1.003
q_ind_63_pop_0,4227.29,1.000
q_ind_64_pop_0,1.60,2.712
q_ind_65_pop_0,1.83,3.899
q_ind_66_pop_0,1.94,3.491
q_ind_67_pop_0,1.70,5.319
q_ind_68_pop_0,1.99,3.338
q_ind_69_pop_0,1.89,3.925
q_ind_70_pop_0,2.35,2.663
q_ind_71_pop_0,1.54,11.328
q_ind_72_pop_0,1.58,7.826
q_ind_73_pop_0,1.64,6.774
q_ind_74_pop_0,3.12,1.666
q_ind_75_pop_0,462.92,1.091
q_ind_76_pop_0,1.62,7.404
q_ind_77_pop_0,1.55,13.681
q_ind_78_pop_0,1.79,2.030
q_ind_79_pop_0,1.84,2.673
q_ind_80_pop_0,1.45,2.212
q_ind_81_pop_0,1.57,10.917
q_ind_82_pop_0,1187.96,1.005
q_ind_83_pop_0,6298.55,1.000
q_ind_84_pop_0,1.55,11.880
q_ind_85_pop_0,2.50,1.569
q_ind_86_pop_0,7560.51,1.000
q_ind_87_pop_0,5522.84,1.001
q_ind_88_pop_0,261.39,1.009
q_ind_89_pop_0,4256.05,1.000
q_ind_90_pop_0,1156.40,1.001
q_ind_91_pop_0,2354.55,1.001
q_ind_92_pop_0,2862.63,1.000
q_ind_93_pop_0,5630.75,1.000
q_ind_94_pop_0,831.91,1.002
q_ind_95_pop_0,3430.30,1.000
q_ind_96_pop_0,5951.29,1.001
q_ind_97_pop_0,2004.61,1.000
q_ind_98_pop_0,2712.29,1.001
q_ind_99_pop_0,1.50,5306.212
q_ind_100_pop_0,7271.65,1.000
q_ind_101_pop_0,1.50,122.546
q_ind_102_pop_0,1.50,103.031
q_ind_103_pop_0,777.41,1.001
q_ind_104_pop_0,7537.05,1.000
q_ind_105_pop_0,1577.71,1.000
q_ind_106_pop_0,1.50,181.877
q_ind_107_pop_0,1.50,2525.272
q_ind_108_pop_0,1.50,3678.945
q_ind_109_pop_0,1.60,3.636
q_ind_110_pop_0,1.50,81.632
q_ind_111_pop_0,1.50,2398.815
q_ind_112_pop_0,10.11,1.055
q_ind_113_pop_0,1.50,329.974
q_ind_114_pop_0,1.50,4516.114
q_ind_115_pop_0,1.50,1052.675
q_ind_116_pop_0,1.50,173.862
q_ind_117_pop_0,1.50,1932.688
q_ind_118_pop_0,1.50,204.411
q_ind_119_pop_0,17.92,1.168
q_ind_120_pop_0,2.18,2.853
q_ind_121_pop_0,198.96,1.011
q_ind_122_pop_0,2467.17,1.000
q_ind_123_pop_0,45.90,1.028
q_ind_124_pop_0,93.68,1.023
q_ind_125_pop_0,2.58,2.432
q_ind_126_pop_0,2.35,2.018
q_ind_127_pop_0,2.62,2.375
q_ind_128_pop_0,1.57,10.534
q_ind_129_pop_0,359.76,1.005
q_ind_130_pop_0,1.81,4.014
q_ind_131_pop_0,168.76,1.011
q_ind_132_pop_0,65.03,1.008
q_ind_133_pop_0,5395.59,1.001
q_ind_134_pop_0,6255.33,1.000
q_ind_135_pop_0,3771.68,1.000
q_ind_136_pop_0,1432.94,1.001
q_ind_137_pop_0,7273.63,1.000
q_ind_138_pop_0,6514.59,1.000
