param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,176.33,1.009
q_ind_1_pop_0,2942.86,1.001
q_ind_2_pop_0,429.38,1.006
q_ind_3_pop_0,816.36,1.000
q_ind_4_pop_0,561.04,1.003
q_ind_5_pop_0,769.44,1.003
q_ind_6_pop_0,1606.35,1.001
q_ind_7_pop_0,1154.04,1.000
q_ind_8_pop_0,595.79,1.000
q_ind_9_pop_0,2749.37,1.003
q_ind_10_pop_0,5.80,1.046
q_ind_11_pop_0,2123.21,1.000
q_ind_12_pop_0,2122.44,1.000
q_ind_13_pop_0,10.17,1.205
q_ind_14_pop_0,453.46,1.003
q_ind_15_pop_0,921.70,1.001
q_ind_16_pop_0,1057.90,1.000
q_ind_17_pop_0,1377.18,1.004
q_ind_18_pop_0,1223.10,1.000
q_ind_19_pop_0,1340.11,1.002
q_ind_20_pop_0,910.77,1.001
q_ind_21_pop_0,2903.47,1.002
q_ind_22_pop_0,3718.52,1.000
q_ind_23_pop_0,382.40,1.002
q_ind_24_pop_0,3928.15,1.001
q_ind_25_pop_0,121.38,1.005
q_ind_26_pop_0,5.84,1.043
q_ind_27_pop_0,1288.15,1.000
q_ind_28_pop_0,5.46,1.058
q_ind_29_pop_0,5.68,1.025
q_ind_30_pop_0,1218.30,1.012
q_ind_31_pop_0,3842.78,1.000
q_ind_32_pop_0,3378.93,1.000
q_ind_33_pop_0,5.45,1.057
q_ind_34_pop_0,5.45,1.058
q_ind_35_pop_0,3641.36,1.001
q_ind_36_pop_0,1668.90,1.001
q_ind_37_pop_0,270.57,1.001
q_ind_38_pop_0,1092.47,1.000
q_ind_39_pop_0,2058.80,1.002
q_ind_40_pop_0,813.12,1.010
q_ind_41_pop_0,3850.98,1.000
q_ind_42_pop_0,3481.38,1.000
q_ind_43_pop_0,4606.91,1.001
q_ind_44_pop_0,2140.11,1.001
q_ind_45_pop_0,2226.74,1.001
q_ind_46_pop_0,2609.69,1.000
q_ind_47_pop_0,4928.27,1.000
q_ind_48_pop_0,3262.13,1.000
q_ind_49_pop_0,3027.13,1.001
q_ind_50_pop_0,4271.29,1.001
q_ind_51_pop_0,4666.43,1.000
q_ind_52_pop_0,2232.66,1.000
q_ind_53_pop_0,2205.60,1.000
q_ind_54_pop_0,794.84,1.003
q_ind_55_pop_0,830.25,1.002
q_ind_56_pop_0,1902.43,1.000
q_ind_57_pop_0,3318.95,1.001
q_ind_58_pop_0,3415.48,1.001
q_ind_59_pop_0,2372.33,1.000
q_ind_60_pop_0,2470.73,1.003
q_ind_61_pop_0,6.40,1.038
q_ind_62_pop_0,1193.19,1.000
q_ind_63_pop_0,1257.59,1.000
q_ind_64_pop_0,43.76,1.001
q_ind_65_pop_0,5830.27,1.000
q_ind_66_pop_0,4685.04,1.000
q_ind_67_pop_0,7946.99,1.000
q_ind_68_pop_0,6590.30,1.001
q_ind_69_pop_0,3126.63,1.001
q_ind_70_pop_0,4185.23,1.000
q_ind_71_pop_0,117.59,1.004
q_ind_72_pop_0,283.99,1.003
q_ind_73_pop_0,2871.83,1.000
q_ind_74_pop_0,273.92,1.003
q_ind_75_pop_0,495.20,1.000
q_ind_76_pop_0,2567.50,1.002
q_ind_77_pop_0,15.79,1.002
q_ind_78_pop_0,303.11,1.002
q_ind_79_pop_0,327.00,1.003
q_ind_80_pop_0,43.37,1.036
q_ind_81_pop_0,2309.85,1.000
q_ind_82_pop_0,1428.35,1.003
q_ind_83_pop_0,1246.19,1.000
q_ind_84_pop_0,852.85,1.003
q_ind_85_pop_0,10.52,1.009
q_ind_86_pop_0,1505.69,1.001
q_ind_87_pop_0,1440.22,1.004
q_ind_88_pop_0,181.31,1.008
q_ind_89_pop_0,504.90,1.001
q_ind_90_pop_0,1184.49,1.000
q_ind_91_pop_0,1683.04,1.000
q_ind_92_pop_0,2001.46,1.000
q_ind_93_pop_0,3315.39,1.000
q_ind_94_pop_0,1885.80,1.001
q_ind_95_pop_0,35.57,1.005
q_ind_96_pop_0,2501.90,1.001
q_ind_97_pop_0,2806.86,1.000
q_ind_98_pop_0,1981.82,1.000
q_ind_99_pop_0,7646.39,1.000
q_ind_100_pop_0,4567.79,1.001
q_ind_101_pop_0,1718.83,1.001
q_ind_102_pop_0,2442.27,1.001
q_ind_103_pop_0,1087.80,1.000
q_ind_104_pop_0,4806.10,1.000
q_ind_105_pop_0,910.41,1.000
q_ind_106_pop_0,1748.21,1.000
q_ind_107_pop_0,5871.17,1.001
q_ind_108_pop_0,5253.09,1.000
q_ind_109_pop_0,2590.85,1.002
q_ind_110_pop_0,1750.30,1.000
q_ind_111_pop_0,8053.41,1.000
q_ind_112_pop_0,4177.78,1.001
q_ind_113_pop_0,3049.60,1.001
q_ind_114_pop_0,9204.35,1.000
q_ind_115_pop_0,4278.94,1.000
q_ind_116_pop_0,4803.27,1.000
q_ind_117_pop_0,4010.63,1.000
q_ind_118_pop_0,1677.34,1.001
q_ind_119_pop_0,4825.78,1.000
q_ind_120_pop_0,2407.27,1.000
q_ind_121_pop_0,4639.26,1.000
q_ind_122_pop_0,1881.53,1.001
q_ind_123_pop_0,10918.53,1.000
q_ind_124_pop_0,6530.43,1.000
q_ind_125_pop_0,2398.20,1.000
