param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000034,0.000000,0.000000,0.000411
q_ind_1_pop_0,0.000014,0.000000,0.000000,0.000131
q_ind_2_pop_0,0.000132,0.000000,0.000000,0.001833
q_ind_3_pop_0,0.000026,0.000000,0.000000,0.000292
q_ind_4_pop_0,0.000013,0.000000,0.000000,0.000137
q_ind_5_pop_0,0.000015,0.000000,0.000000,0.000170
q_ind_6_pop_0,0.000052,0.000000,0.000000,0.000457
q_ind_7_pop_0,0.000058,0.000000,0.000000,0.000591
q_ind_8_pop_0,0.000015,0.000000,0.000000,0.000166
q_ind_9_pop_0,0.000038,0.000000,0.000000,0.000468
q_ind_10_pop_0,0.015470,0.015268,0.007610,0.024575
q_ind_11_pop_0,0.000018,0.000000,0.000000,0.000172
q_ind_12_pop_0,0.000063,0.000000,0.000000,0.000885
q_ind_13_pop_0,0.000019,0.000000,0.000000,0.000192
q_ind_14_pop_0,0.094494,0.094358,0.072339,0.117185
q_ind_15_pop_0,0.094566,0.094412,0.073756,0.116165
q_ind_16_pop_0,0.098319,0.098204,0.078565,0.118772
q_ind_17_pop_0,0.094077,0.093933,0.075183,0.113662
q_ind_18_pop_0,0.107978,0.107560,0.076621,0.141632
q_ind_19_pop_0,0.100791,0.100614,0.082836,0.119434
q_ind_20_pop_0,0.000239,0.000000,0.000000,0.003542
q_ind_21_pop_0,0.000012,0.000000,0.000000,0.000129
q_ind_22_pop_0,0.000013,0.000000,0.000000,0.000123
q_ind_23_pop_0,0.000015,0.000000,0.000000,0.000160
q_ind_24_pop_0,0.000010,0.000000,0.000000,0.000096
q_ind_25_pop_0,0.000063,0.000000,0.000000,0.000814
q_ind_26_pop_0,0.000292,0.000000,0.000000,0.004420
q_ind_27_pop_0,0.000012,0.000000,0.000000,0.000130
q_ind_28_pop_0,0.042045,0.041904,0.029476,0.055530
q_ind_29_pop_0,0.000053,0.000000,0.000000,0.000560
q_ind_30_pop_0,0.000018,0.000000,0.000000,0.000194
